datetime,popData2019,deaths,cases
2020-01-01,8858775.0,0.0,0.0
2020-01-02,8858775.0,0.0,0.0
2020-01-03,8858775.0,0.0,0.0
2020-01-04,8858775.0,0.0,0.0
2020-01-05,8858775.0,0.0,0.0
2020-01-06,8858775.0,0.0,0.0
2020-01-07,8858775.0,0.0,0.0
2020-01-08,8858775.0,0.0,0.0
2020-01-09,8858775.0,0.0,0.0
2020-01-10,8858775.0,0.0,0.0
2020-01-11,8858775.0,0.0,0.0
2020-01-12,8858775.0,0.0,0.0
2020-01-13,8858775.0,0.0,0.0
2020-01-14,8858775.0,0.0,0.0
2020-01-15,8858775.0,0.0,0.0
2020-01-16,8858775.0,0.0,0.0
2020-01-17,8858775.0,0.0,0.0
2020-01-18,8858775.0,0.0,0.0
2020-01-19,8858775.0,0.0,0.0
2020-01-20,8858775.0,0.0,0.0
2020-01-21,8858775.0,0.0,0.0
2020-01-22,8858775.0,0.0,0.0
2020-01-23,8858775.0,0.0,0.0
2020-01-24,8858775.0,0.0,0.0
2020-01-25,8858775.0,0.0,0.0
2020-01-26,8858775.0,0.0,0.0
2020-01-27,8858775.0,0.0,0.0
2020-01-28,8858775.0,0.0,0.0
2020-01-29,8858775.0,0.0,0.0
2020-01-30,8858775.0,0.0,0.0
2020-01-31,8858775.0,0.0,0.0
2020-02-01,8858775.0,0.0,0.0
2020-02-02,8858775.0,0.0,0.0
2020-02-03,8858775.0,0.0,0.0
2020-02-04,8858775.0,0.0,0.0
2020-02-05,8858775.0,0.0,0.0
2020-02-06,8858775.0,0.0,0.0
2020-02-07,8858775.0,0.0,0.0
2020-02-08,8858775.0,0.0,0.0
2020-02-09,8858775.0,0.0,0.0
2020-02-10,8858775.0,0.0,0.0
2020-02-11,8858775.0,0.0,0.0
2020-02-12,8858775.0,0.0,0.0
2020-02-13,8858775.0,0.0,0.0
2020-02-14,8858775.0,0.0,0.0
2020-02-15,8858775.0,0.0,0.0
2020-02-16,8858775.0,0.0,0.0
2020-02-17,8858775.0,0.0,0.0
2020-02-18,8858775.0,0.0,0.0
2020-02-19,8858775.0,0.0,0.0
2020-02-20,8858775.0,0.0,0.0
