datetime,popData2019,deaths,cases
2020-01-01,211049519.0,0.0,0.0
2020-01-02,211049519.0,0.0,0.0
2020-01-03,211049519.0,0.0,0.0
2020-01-04,211049519.0,0.0,0.0
2020-01-05,211049519.0,0.0,0.0
2020-01-06,211049519.0,0.0,0.0
2020-01-07,211049519.0,0.0,0.0
2020-01-08,211049519.0,0.0,0.0
2020-01-09,211049519.0,0.0,0.0
2020-01-10,211049519.0,0.0,0.0
2020-01-11,211049519.0,0.0,0.0
2020-01-12,211049519.0,0.0,0.0
2020-01-13,211049519.0,0.0,0.0
2020-01-14,211049519.0,0.0,0.0
2020-01-15,211049519.0,0.0,0.0
2020-01-16,211049519.0,0.0,0.0
2020-01-17,211049519.0,0.0,0.0
2020-01-18,211049519.0,0.0,0.0
2020-01-19,211049519.0,0.0,0.0
2020-01-20,211049519.0,0.0,0.0
2020-01-21,211049519.0,0.0,0.0
2020-01-22,211049519.0,0.0,0.0
2020-01-23,211049519.0,0.0,0.0
2020-01-24,211049519.0,0.0,0.0
2020-01-25,211049519.0,0.0,0.0
2020-01-26,211049519.0,0.0,0.0
2020-01-27,211049519.0,0.0,0.0
2020-01-28,211049519.0,0.0,0.0
2020-01-29,211049519.0,0.0,0.0
2020-01-30,211049519.0,0.0,0.0
2020-01-31,211049519.0,0.0,0.0
2020-02-01,211049519.0,0.0,0.0
2020-02-02,211049519.0,0.0,0.0
2020-02-03,211049519.0,0.0,0.0
2020-02-04,211049519.0,0.0,0.0
2020-02-05,211049519.0,0.0,0.0
2020-02-06,211049519.0,0.0,0.0
2020-02-07,211049519.0,0.0,0.0
2020-02-08,211049519.0,0.0,0.0
2020-02-09,211049519.0,0.0,0.0
2020-02-10,211049519.0,0.0,0.0
2020-02-11,211049519.0,0.0,0.0
2020-02-12,211049519.0,0.0,0.0
2020-02-13,211049519.0,0.0,0.0
2020-02-14,211049519.0,0.0,0.0
2020-02-15,211049519.0,0.0,0.0
2020-02-16,211049519.0,0.0,0.0
2020-02-17,211049519.0,0.0,0.0
2020-02-18,211049519.0,0.0,0.0
2020-02-19,211049519.0,0.0,0.0
2020-02-20,211049519.0,0.0,0.0
2020-02-21,211049519.0,0.0,0.0
2020-02-22,211049519.0,0.0,0.0
2020-02-23,211049519.0,0.0,0.0
2020-02-24,211049519.0,0.0,0.0
2020-02-25,211049519.0,0.0,0.0
2020-02-26,211049519.0,0.0,1.0
2020-02-27,211049519.0,0.0,0.0
2020-02-28,211049519.0,0.0,0.0
2020-02-29,211049519.0,0.0,0.0
2020-03-01,211049519.0,0.0,1.0
2020-03-02,211049519.0,0.0,0.0
2020-03-03,211049519.0,0.0,0.0
2020-03-04,211049519.0,0.0,0.0
2020-03-05,211049519.0,0.0,1.0
2020-03-06,211049519.0,0.0,5.0
2020-03-07,211049519.0,0.0,5.0
2020-03-08,211049519.0,0.0,0.0
2020-03-09,211049519.0,0.0,12.0
2020-03-10,211049519.0,0.0,0.0
2020-03-11,211049519.0,0.0,9.0
2020-03-12,211049519.0,0.0,18.0
2020-03-13,211049519.0,0.0,25.0
2020-03-14,211049519.0,0.0,21.0
2020-03-15,211049519.0,0.0,23.0
2020-03-16,211049519.0,0.0,79.0
2020-03-17,211049519.0,0.0,34.0
2020-03-18,211049519.0,1.0,57.0
2020-03-19,211049519.0,3.0,137.0
2020-03-20,211049519.0,2.0,193.0
2020-03-21,211049519.0,5.0,283.0
2020-03-22,211049519.0,7.0,224.0
2020-03-23,211049519.0,7.0,418.0
2020-03-24,211049519.0,9.0,345.0
2020-03-25,211049519.0,12.0,310.0
2020-03-26,211049519.0,11.0,232.0
2020-03-27,211049519.0,20.0,482.0
2020-03-28,211049519.0,15.0,502.0
2020-03-29,211049519.0,22.0,487.0
2020-03-30,211049519.0,22.0,352.0
2020-03-31,211049519.0,23.0,323.0
2020-04-01,211049519.0,42.0,1138.0
2020-04-02,211049519.0,40.0,1119.0
2020-04-03,211049519.0,58.0,1074.0
2020-04-04,211049519.0,60.0,1146.0
2020-04-05,211049519.0,73.0,1222.0
2020-04-06,211049519.0,54.0,852.0
2020-04-07,211049519.0,67.0,926.0
2020-04-08,211049519.0,114.0,1661.0
2020-04-09,211049519.0,133.0,2210.0
2020-04-10,211049519.0,141.0,1930.0
2020-04-11,211049519.0,115.0,1781.0
2020-04-12,211049519.0,68.0,1089.0
2020-04-13,211049519.0,99.0,1442.0
2020-04-14,211049519.0,105.0,1261.0
2020-04-15,211049519.0,204.0,1832.0
2020-04-16,211049519.0,204.0,3058.0
2020-04-17,211049519.0,188.0,2105.0
2020-04-18,211049519.0,217.0,3257.0
2020-04-19,211049519.0,206.0,2917.0
2020-04-20,211049519.0,115.0,2055.0
2020-04-21,211049519.0,113.0,1927.0
2020-04-22,211049519.0,166.0,2498.0
2020-04-23,211049519.0,165.0,2678.0
2020-04-24,211049519.0,407.0,3735.0
2020-04-25,211049519.0,357.0,3503.0
2020-04-26,211049519.0,346.0,5514.0
2020-04-27,211049519.0,189.0,3379.0
2020-04-28,211049519.0,338.0,4613.0
2020-04-29,211049519.0,474.0,5385.0
2020-04-30,211049519.0,449.0,6276.0
2020-05-01,211049519.0,435.0,7218.0
2020-05-02,211049519.0,428.0,6209.0
2020-05-03,211049519.0,421.0,4970.0
2020-05-04,211049519.0,275.0,4588.0
2020-05-05,211049519.0,296.0,6633.0
2020-05-06,211049519.0,600.0,6935.0
2020-05-07,211049519.0,615.0,10503.0
2020-05-08,211049519.0,610.0,9888.0
2020-05-09,211049519.0,751.0,10222.0
2020-05-10,211049519.0,730.0,10611.0
2020-05-11,211049519.0,496.0,6760.0
2020-05-12,211049519.0,396.0,5632.0
2020-05-13,211049519.0,881.0,9258.0
2020-05-14,211049519.0,749.0,11385.0
2020-05-15,211049519.0,844.0,13944.0
2020-05-16,211049519.0,824.0,15305.0
2020-05-17,211049519.0,816.0,14919.0
2020-05-18,211049519.0,485.0,7938.0
2020-05-19,211049519.0,674.0,13140.0
2020-05-20,211049519.0,1179.0,17408.0
2020-05-21,211049519.0,888.0,19951.0
2020-05-22,211049519.0,1188.0,18508.0
2020-05-23,211049519.0,1001.0,20803.0
2020-05-24,211049519.0,965.0,16508.0
2020-05-25,211049519.0,653.0,15813.0
2020-05-26,211049519.0,807.0,11687.0
2020-05-27,211049519.0,1039.0,16324.0
2020-05-28,211049519.0,1086.0,20599.0
2020-05-29,211049519.0,1156.0,26417.0
2020-05-30,211049519.0,1124.0,26928.0
2020-05-31,211049519.0,956.0,33274.0
2020-06-01,211049519.0,480.0,16409.0
2020-06-02,211049519.0,623.0,11598.0
2020-06-03,211049519.0,1262.0,28936.0
2020-06-04,211049519.0,1349.0,28633.0
2020-06-05,211049519.0,1473.0,30916.0
2020-06-06,211049519.0,1005.0,30830.0
2020-06-07,211049519.0,904.0,27075.0
2020-06-08,211049519.0,525.0,18921.0
2020-06-09,211049519.0,679.0,15654.0
2020-06-10,211049519.0,1272.0,32091.0
2020-06-11,211049519.0,1274.0,32913.0
2020-06-12,211049519.0,1239.0,30412.0
2020-06-13,211049519.0,909.0,25982.0
2020-06-14,211049519.0,892.0,21704.0
2020-06-15,211049519.0,612.0,17110.0
2020-06-16,211049519.0,627.0,20647.0
2020-06-17,211049519.0,1282.0,34918.0
2020-06-18,211049519.0,1269.0,32188.0
2020-06-19,211049519.0,1238.0,22765.0
2020-06-20,211049519.0,1206.0,54771.0
2020-06-21,211049519.0,1022.0,34666.0
2020-06-22,211049519.0,641.0,17459.0
2020-06-23,211049519.0,654.0,21432.0
2020-06-24,211049519.0,1374.0,39436.0
2020-06-25,211049519.0,1185.0,42725.0
2020-06-26,211049519.0,1141.0,39483.0
2020-06-27,211049519.0,990.0,46860.0
2020-06-28,211049519.0,1109.0,38693.0
2020-06-29,211049519.0,552.0,30476.0
2020-06-30,211049519.0,692.0,24052.0
2020-07-01,211049519.0,1280.0,33846.0
2020-07-02,211049519.0,1038.0,46712.0
2020-07-03,211049519.0,1252.0,48105.0
2020-07-04,211049519.0,1290.0,42223.0
2020-07-05,211049519.0,1091.0,37923.0
2020-07-06,211049519.0,602.0,26051.0
2020-07-07,211049519.0,620.0,20229.0
2020-07-08,211049519.0,1254.0,45305.0
2020-07-09,211049519.0,1223.0,44571.0
2020-07-10,211049519.0,1220.0,42619.0
2020-07-11,211049519.0,1214.0,45048.0
2020-07-12,211049519.0,1071.0,39023.0
2020-07-13,211049519.0,631.0,24831.0
2020-07-14,211049519.0,733.0,20286.0
2020-07-15,211049519.0,1300.0,41857.0
2020-07-16,211049519.0,1233.0,39924.0
2020-07-17,211049519.0,1322.0,45403.0
2020-07-18,211049519.0,1163.0,34177.0
2020-07-19,211049519.0,921.0,28532.0
2020-07-20,211049519.0,716.0,23529.0
2020-07-21,211049519.0,632.0,20257.0
2020-07-22,211049519.0,1367.0,41008.0
2020-07-23,211049519.0,1284.0,67860.0
2020-07-24,211049519.0,1311.0,59961.0
2020-07-25,211049519.0,1156.0,55891.0
2020-07-26,211049519.0,1211.0,51147.0
2020-07-27,211049519.0,555.0,24578.0
2020-07-28,211049519.0,614.0,23284.0
2020-07-29,211049519.0,921.0,40816.0
2020-07-30,211049519.0,1595.0,69074.0
2020-07-31,211049519.0,1129.0,57837.0
2020-08-01,211049519.0,1212.0,52383.0
2020-08-02,211049519.0,1088.0,45392.0
2020-08-03,211049519.0,541.0,25800.0
2020-08-04,211049519.0,561.0,16641.0
2020-08-05,211049519.0,1154.0,51603.0
2020-08-06,211049519.0,1437.0,57152.0
2020-08-07,211049519.0,1237.0,53139.0
2020-08-08,211049519.0,1079.0,50230.0
2020-08-09,211049519.0,905.0,49970.0
2020-08-10,211049519.0,572.0,23010.0
2020-08-11,211049519.0,703.0,22048.0
2020-08-12,211049519.0,1274.0,52160.0
2020-08-13,211049519.0,1175.0,55155.0
2020-08-14,211049519.0,1262.0,60091.0
2020-08-15,211049519.0,1060.0,50644.0
2020-08-16,211049519.0,709.0,41576.0
2020-08-17,211049519.0,620.0,23101.0
2020-08-18,211049519.0,684.0,19373.0
2020-08-19,211049519.0,1352.0,47784.0
2020-08-20,211049519.0,1212.0,49298.0
2020-08-21,211049519.0,1204.0,45323.0
2020-08-22,211049519.0,1054.0,30355.0
2020-08-23,211049519.0,892.0,50032.0
2020-08-24,211049519.0,494.0,23421.0
2020-08-25,211049519.0,565.0,17078.0
2020-08-26,211049519.0,1271.0,47134.0
2020-08-27,211049519.0,1085.0,47161.0
2020-08-28,211049519.0,984.0,44235.0
2020-08-29,211049519.0,855.0,43412.0
2020-08-30,211049519.0,958.0,41350.0
2020-08-31,211049519.0,366.0,16158.0
2020-09-01,211049519.0,553.0,45961.0
2020-09-02,211049519.0,1215.0,42659.0
2020-09-03,211049519.0,1184.0,46934.0
2020-09-04,211049519.0,834.0,43773.0
2020-09-05,211049519.0,907.0,51194.0
2020-09-06,211049519.0,682.0,30168.0
2020-09-07,211049519.0,447.0,14521.0
2020-09-08,211049519.0,310.0,10273.0
2020-09-09,211049519.0,504.0,14279.0
2020-09-10,211049519.0,1075.0,35816.0
2020-09-11,211049519.0,983.0,40557.0
2020-09-12,211049519.0,874.0,43718.0
2020-09-13,211049519.0,814.0,33523.0
2020-09-14,211049519.0,415.0,14768.0
2020-09-15,211049519.0,381.0,15155.0
2020-09-16,211049519.0,1113.0,36653.0
2020-09-17,211049519.0,987.0,36820.0
2020-09-18,211049519.0,829.0,36303.0
2020-09-19,211049519.0,858.0,39797.0
2020-09-20,211049519.0,739.0,33057.0
2020-09-21,211049519.0,363.0,16389.0
2020-09-22,211049519.0,377.0,13439.0
2020-09-23,211049519.0,836.0,33536.0
2020-09-24,211049519.0,869.0,33281.0
2020-09-25,211049519.0,831.0,32817.0
2020-09-26,211049519.0,729.0,31911.0
2020-09-27,211049519.0,869.0,28378.0
2020-09-28,211049519.0,335.0,14318.0
2020-09-29,211049519.0,317.0,13155.0
2020-09-30,211049519.0,863.0,32058.0
2020-10-01,211049519.0,1031.0,33413.0
2020-10-02,211049519.0,728.0,36157.0
2020-10-03,211049519.0,708.0,33431.0
2020-10-04,211049519.0,599.0,26310.0
2020-10-05,211049519.0,365.0,8456.0
2020-10-06,211049519.0,323.0,11946.0
2020-10-07,211049519.0,819.0,41906.0
2020-10-08,211049519.0,734.0,31553.0
