datetime,popData2019,deaths,cases
2020-01-01,1433783692.0,0.0,0.0
2020-01-02,1433783692.0,0.0,0.0
2020-01-03,1433783692.0,0.0,17.0
2020-01-04,1433783692.0,0.0,0.0
2020-01-05,1433783692.0,0.0,15.0
2020-01-06,1433783692.0,0.0,0.0
2020-01-07,1433783692.0,0.0,0.0
2020-01-08,1433783692.0,0.0,0.0
2020-01-09,1433783692.0,0.0,0.0
2020-01-10,1433783692.0,0.0,0.0
2020-01-11,1433783692.0,1.0,0.0
2020-01-12,1433783692.0,0.0,0.0
2020-01-13,1433783692.0,0.0,0.0
2020-01-14,1433783692.0,0.0,0.0
2020-01-15,1433783692.0,1.0,0.0
2020-01-16,1433783692.0,0.0,0.0
2020-01-17,1433783692.0,0.0,4.0
2020-01-18,1433783692.0,0.0,17.0
2020-01-19,1433783692.0,1.0,136.0
2020-01-20,1433783692.0,0.0,19.0
2020-01-21,1433783692.0,3.0,151.0
2020-01-22,1433783692.0,11.0,140.0
2020-01-23,1433783692.0,0.0,97.0
2020-01-24,1433783692.0,9.0,259.0
2020-01-25,1433783692.0,15.0,441.0
2020-01-26,1433783692.0,15.0,665.0
2020-01-27,1433783692.0,25.0,787.0
2020-01-28,1433783692.0,25.0,1753.0
2020-01-29,1433783692.0,26.0,1466.0
2020-01-30,1433783692.0,38.0,1740.0
2020-01-31,1433783692.0,43.0,1980.0
2020-02-01,1433783692.0,46.0,2095.0
2020-02-02,1433783692.0,45.0,2590.0
2020-02-03,1433783692.0,57.0,2812.0
2020-02-04,1433783692.0,65.0,3237.0
2020-02-05,1433783692.0,66.0,3872.0
2020-02-06,1433783692.0,72.0,3727.0
2020-02-07,1433783692.0,73.0,3160.0
2020-02-08,1433783692.0,86.0,3418.0
2020-02-09,1433783692.0,89.0,2607.0
2020-02-10,1433783692.0,97.0,2974.0
2020-02-11,1433783692.0,108.0,2490.0
2020-02-12,1433783692.0,97.0,2028.0
2020-02-13,1433783692.0,254.0,15141.0
2020-02-14,1433783692.0,13.0,4156.0
2020-02-15,1433783692.0,143.0,2538.0
2020-02-16,1433783692.0,142.0,2007.0
2020-02-17,1433783692.0,105.0,2052.0
2020-02-18,1433783692.0,98.0,1890.0
2020-02-19,1433783692.0,139.0,1750.0
2020-02-20,1433783692.0,112.0,394.0
2020-02-21,1433783692.0,118.0,891.0
2020-02-22,1433783692.0,109.0,826.0
2020-02-23,1433783692.0,98.0,647.0
2020-02-24,1433783692.0,150.0,218.0
2020-02-25,1433783692.0,70.0,515.0
2020-02-26,1433783692.0,52.0,410.0
2020-02-27,1433783692.0,29.0,439.0
2020-02-28,1433783692.0,44.0,329.0
2020-02-29,1433783692.0,47.0,428.0
2020-03-01,1433783692.0,35.0,574.0
2020-03-02,1433783692.0,42.0,205.0
2020-03-03,1433783692.0,32.0,127.0
2020-03-04,1433783692.0,37.0,119.0
