datetime,popData2019,deaths,cases
2020-03-15,17581476.0,0.0,1.0
2020-03-16,17581476.0,1.0,0.0
2020-03-17,17581476.0,0.0,5.0
2020-03-18,17581476.0,0.0,0.0
2020-03-19,17581476.0,0.0,2.0
2020-03-20,17581476.0,0.0,1.0
2020-03-21,17581476.0,0.0,4.0
2020-03-22,17581476.0,0.0,4.0
2020-03-23,17581476.0,0.0,2.0
2020-03-24,17581476.0,0.0,1.0
2020-03-25,17581476.0,0.0,1.0
2020-03-26,17581476.0,0.0,3.0
2020-03-27,17581476.0,0.0,1.0
2020-03-28,17581476.0,0.0,7.0
2020-03-29,17581476.0,0.0,2.0
2020-03-30,17581476.0,0.0,2.0
2020-03-31,17581476.0,0.0,0.0
2020-04-01,17581476.0,0.0,2.0
2020-04-02,17581476.0,0.0,8.0
2020-04-03,17581476.0,0.0,1.0
2020-04-04,17581476.0,0.0,3.0
2020-04-05,17581476.0,1.0,11.0
2020-04-06,17581476.0,1.0,9.0
2020-04-07,17581476.0,0.0,4.0
2020-04-08,17581476.0,0.0,6.0
2020-04-09,17581476.0,0.0,7.0
2020-04-10,17581476.0,0.0,39.0
2020-04-11,17581476.0,0.0,11.0
2020-04-12,17581476.0,0.0,16.0
2020-04-13,17581476.0,2.0,3.0
2020-04-14,17581476.0,0.0,11.0
2020-04-15,17581476.0,0.0,13.0
2020-04-16,17581476.0,0.0,16.0
2020-04-17,17581476.0,2.0,18.0
2020-04-18,17581476.0,0.0,21.0
2020-04-19,17581476.0,0.0,22.0
2020-04-20,17581476.0,0.0,32.0
2020-04-21,17581476.0,0.0,5.0
2020-04-22,17581476.0,1.0,22.0
2020-04-23,17581476.0,2.0,26.0
2020-04-24,17581476.0,1.0,42.0
2020-04-25,17581476.0,0.0,46.0
2020-04-26,17581476.0,2.0,43.0
2020-04-27,17581476.0,2.0,27.0
2020-04-28,17581476.0,0.0,30.0
2020-04-29,17581476.0,1.0,27.0
2020-04-30,17581476.0,0.0,28.0
2020-05-01,17581476.0,0.0,14.0
2020-05-02,17581476.0,0.0,45.0
2020-05-03,17581476.0,1.0,44.0
2020-05-04,17581476.0,0.0,15.0
2020-05-05,17581476.0,2.0,27.0
2020-05-06,17581476.0,0.0,33.0
2020-05-07,17581476.0,2.0,35.0
2020-05-08,17581476.0,2.0,34.0
2020-05-09,17581476.0,1.0,68.0
2020-05-10,17581476.0,0.0,67.0
2020-05-11,17581476.0,2.0,85.0
2020-05-12,17581476.0,0.0,62.0
2020-05-13,17581476.0,1.0,85.0
2020-05-14,17581476.0,2.0,143.0
2020-05-15,17581476.0,0.0,176.0
2020-05-16,17581476.0,1.0,125.0
2020-05-17,17581476.0,3.0,120.0
2020-05-18,17581476.0,2.0,149.0
2020-05-19,17581476.0,3.0,89.0
2020-05-20,17581476.0,5.0,132.0
2020-05-21,17581476.0,2.0,132.0
2020-05-22,17581476.0,3.0,247.0
2020-05-23,17581476.0,3.0,231.0
2020-05-24,17581476.0,4.0,311.0
2020-05-25,17581476.0,3.0,370.0
2020-05-26,17581476.0,1.0,336.0
2020-05-27,17581476.0,4.0,194.0
2020-05-28,17581476.0,5.0,191.0
2020-05-29,17581476.0,12.0,203.0
2020-05-30,17581476.0,10.0,259.0
2020-05-31,17581476.0,12.0,132.0
2020-06-01,17581476.0,6.0,348.0
2020-06-02,17581476.0,8.0,249.0
2020-06-03,17581476.0,7.0,250.0
2020-06-04,17581476.0,20.0,174.0
2020-06-05,17581476.0,15.0,394.0
2020-06-06,17581476.0,58.0,331.0
2020-06-07,17581476.0,14.0,307.0
2020-06-08,17581476.0,22.0,263.0
2020-06-09,17581476.0,15.0,447.0
2020-06-10,17581476.0,22.0,364.0
2020-06-11,17581476.0,27.0,355.0
2020-06-12,17581476.0,18.0,340.0
2020-06-13,17581476.0,17.0,421.0
2020-06-14,17581476.0,16.0,509.0
2020-06-15,17581476.0,17.0,354.0
2020-06-16,17581476.0,15.0,427.0
2020-06-17,17581476.0,19.0,434.0
2020-06-18,17581476.0,14.0,545.0
2020-06-19,17581476.0,17.0,617.0
2020-06-20,17581476.0,34.0,641.0
2020-06-21,17581476.0,31.0,246.0
2020-06-22,17581476.0,17.0,390.0
2020-06-23,17581476.0,16.0,624.0
2020-06-24,17581476.0,35.0,771.0
2020-06-25,17581476.0,19.0,279.0
2020-06-26,17581476.0,22.0,800.0
2020-06-27,17581476.0,49.0,209.0
2020-06-28,17581476.0,34.0,569.0
2020-06-29,17581476.0,21.0,533.0
2020-06-30,17581476.0,19.0,479.0
2020-07-01,17581476.0,27.0,687.0
2020-07-02,17581476.0,44.0,915.0
2020-07-03,17581476.0,26.0,1061.0
2020-07-04,17581476.0,37.0,1221.0
2020-07-05,17581476.0,40.0,1208.0
2020-07-06,17581476.0,27.0,747.0
2020-07-07,17581476.0,34.0,724.0
2020-07-08,17581476.0,23.0,815.0
2020-07-09,17581476.0,49.0,624.0
2020-07-10,17581476.0,39.0,1247.0
2020-07-11,17581476.0,47.0,961.0
2020-07-12,17581476.0,33.0,979.0
2020-07-13,17581476.0,47.0,757.0
2020-07-14,17581476.0,25.0,387.0
2020-07-15,17581476.0,58.0,1130.0
2020-07-16,17581476.0,48.0,1202.0
2020-07-17,17581476.0,54.0,865.0
2020-07-18,17581476.0,39.0,870.0
2020-07-19,17581476.0,6.0,4233.0
2020-07-20,17581476.0,36.0,635.0
2020-07-21,17581476.0,17.0,362.0
2020-07-22,17581476.0,29.0,1190.0
2020-07-23,17581476.0,42.0,906.0
2020-07-24,17581476.0,59.0,1057.0
2020-07-25,17581476.0,37.0,1091.0
2020-07-26,17581476.0,0.0,1209.0
2020-07-27,17581476.0,65.0,561.0
2020-07-28,17581476.0,0.0,0.0
2020-07-29,17581476.0,27.0,6.0
2020-07-30,17581476.0,74.0,2546.0
2020-07-31,17581476.0,32.0,1221.0
2020-08-01,17581476.0,57.0,963.0
2020-08-02,17581476.0,35.0,1190.0
2020-08-03,17581476.0,36.0,327.0
2020-08-04,17581476.0,18.0,236.0
2020-08-05,17581476.0,24.0,823.0
2020-08-06,17581476.0,35.0,1144.0
2020-08-07,17581476.0,47.0,830.0
2020-08-08,17581476.0,49.0,931.0
2020-08-09,17581476.0,29.0,919.0
2020-08-10,17581476.0,14.0,416.0
2020-08-11,17581476.0,11.0,382.0
2020-08-12,17581476.0,11.0,979.0
2020-08-13,17581476.0,34.0,1123.0
2020-08-14,17581476.0,29.0,1195.0
2020-08-15,17581476.0,45.0,1144.0
2020-08-16,17581476.0,14.0,885.0
2020-08-17,17581476.0,24.0,249.0
2020-08-18,17581476.0,10.0,382.0
2020-08-19,17581476.0,30.0,903.0
2020-08-20,17581476.0,48.0,1034.0
2020-08-21,17581476.0,39.0,1102.0
2020-08-22,17581476.0,26.0,958.0
2020-08-23,17581476.0,48.0,915.0
2020-08-24,17581476.0,14.0,332.0
2020-08-25,17581476.0,17.0,345.0
2020-08-26,17581476.0,19.0,1118.0
2020-08-27,17581476.0,32.0,1063.0
2020-08-28,17581476.0,23.0,1142.0
2020-08-29,17581476.0,24.0,1065.0
2020-08-30,17581476.0,19.0,758.0
2020-08-31,17581476.0,12.0,233.0
2020-09-01,17581476.0,20.0,162.0
2020-09-02,17581476.0,18.0,819.0
2020-09-03,17581476.0,12.0,771.0
2020-09-04,17581476.0,14.0,694.0
2020-09-05,17581476.0,21.0,682.0
2020-09-06,17581476.0,20.0,441.0
2020-09-07,17581476.0,7.0,202.0
2020-09-08,17581476.0,10.0,145.0
2020-09-09,17581476.0,28.0,893.0
2020-09-10,17581476.0,7.0,901.0
2020-09-11,17581476.0,21.0,684.0
2020-09-12,17581476.0,11.0,703.0
2020-09-13,17581476.0,20.0,649.0
2020-09-14,17581476.0,8.0,251.0
2020-09-15,17581476.0,15.0,263.0
2020-09-16,17581476.0,12.0,512.0
2020-09-17,17581476.0,25.0,240.0
2020-09-18,17581476.0,27.0,740.0
2020-09-19,17581476.0,40.0,680.0
2020-09-20,17581476.0,29.0,808.0
2020-09-21,17581476.0,14.0,292.0
2020-09-22,17581476.0,5.0,237.0
2020-09-23,17581476.0,13.0,942.0
2020-09-24,17581476.0,17.0,819.0
2020-09-25,17581476.0,16.0,491.0
2020-09-26,17581476.0,16.0,945.0
2020-09-27,17581476.0,27.0,824.0
2020-09-28,17581476.0,16.0,390.0
2020-09-29,17581476.0,5.0,171.0
2020-09-30,17581476.0,4.0,705.0
2020-10-01,17581476.0,8.0,778.0
2020-10-02,17581476.0,15.0,663.0
2020-10-03,17581476.0,6.0,681.0
2020-10-04,17581476.0,18.0,658.0
2020-10-05,17581476.0,8.0,215.0
2020-10-06,17581476.0,9.0,219.0
2020-10-07,17581476.0,8.0,688.0
2020-10-08,17581476.0,25.0,834.0
