datetime,popData2019,deaths,cases
2020-03-12,9746115.0,0.0,2.0
2020-03-14,9746115.0,0.0,1.0
2020-03-16,9746115.0,0.0,3.0
2020-03-17,9746115.0,0.0,2.0
2020-03-18,9746115.0,0.0,1.0
2020-03-19,9746115.0,0.0,3.0
2020-03-20,9746115.0,0.0,12.0
2020-03-21,9746115.0,0.0,0.0
2020-03-22,9746115.0,0.0,2.0
2020-03-23,9746115.0,0.0,1.0
2020-03-24,9746115.0,0.0,3.0
2020-03-25,9746115.0,0.0,6.0
2020-03-26,9746115.0,0.0,16.0
2020-03-27,9746115.0,1.0,15.0
2020-03-28,9746115.0,0.0,28.0
2020-03-29,9746115.0,1.0,15.0
2020-03-30,9746115.0,1.0,29.0
2020-03-31,9746115.0,4.0,2.0
2020-04-01,9746115.0,3.0,31.0
2020-04-02,9746115.0,4.0,47.0
2020-04-03,9746115.0,1.0,3.0
2020-04-04,9746115.0,0.0,42.0
2020-04-05,9746115.0,7.0,4.0
2020-04-06,9746115.0,0.0,30.0
2020-04-07,9746115.0,0.0,7.0
2020-04-08,9746115.0,0.0,7.0
2020-04-09,9746115.0,1.0,31.0
2020-04-10,9746115.0,0.0,39.0
2020-04-11,9746115.0,1.0,10.0
2020-04-12,9746115.0,1.0,1.0
2020-04-13,9746115.0,0.0,4.0
2020-04-14,9746115.0,1.0,10.0
2020-04-15,9746115.0,5.0,12.0
2020-04-16,9746115.0,4.0,7.0
2020-04-17,9746115.0,6.0,16.0
2020-04-18,9746115.0,5.0,15.0
2020-04-19,9746115.0,0.0,15.0
2020-04-20,9746115.0,0.0,5.0
2020-04-21,9746115.0,0.0,17.0
2020-04-22,9746115.0,0.0,16.0
2020-04-23,9746115.0,1.0,9.0
2020-04-24,9746115.0,0.0,0.0
2020-04-25,9746115.0,0.0,72.0
2020-04-26,9746115.0,12.0,36.0
2020-04-27,9746115.0,2.0,34.0
2020-04-28,9746115.0,0.0,32.0
2020-04-29,9746115.0,5.0,45.0
2020-04-30,9746115.0,5.0,33.0
2020-05-01,9746115.0,4.0,33.0
2020-05-02,9746115.0,0.0,95.0
2020-05-03,9746115.0,1.0,111.0
2020-05-04,9746115.0,6.0,45.0
2020-05-05,9746115.0,0.0,123.0
2020-05-06,9746115.0,11.0,92.0
2020-05-07,9746115.0,6.0,191.0
2020-05-08,9746115.0,6.0,224.0
2020-05-09,9746115.0,2.0,86.0
2020-05-10,9746115.0,1.0,59.0
2020-05-11,9746115.0,0.0,142.0
2020-05-12,9746115.0,8.0,34.0
2020-05-13,9746115.0,5.0,74.0
2020-05-14,9746115.0,2.0,175.0
2020-05-15,9746115.0,10.0,63.0
2020-05-16,9746115.0,1.0,142.0
2020-05-17,9746115.0,4.0,105.0
2020-05-18,9746115.0,4.0,81.0
2020-05-19,9746115.0,4.0,152.0
2020-05-20,9746115.0,1.0,157.0
2020-05-21,9746115.0,4.0,145.0
2020-05-22,9746115.0,5.0,104.0
2020-05-23,9746115.0,11.0,273.0
2020-05-24,9746115.0,7.0,266.0
2020-05-25,9746115.0,6.0,207.0
2020-05-26,9746115.0,2.0,239.0
2020-05-27,9746115.0,6.0,212.0
2020-05-28,9746115.0,6.0,239.0
2020-05-29,9746115.0,2.0,112.0
2020-05-30,9746115.0,3.0,134.0
2020-05-31,9746115.0,2.0,208.0
2020-06-01,9746115.0,11.0,108.0
2020-06-02,9746115.0,5.0,160.0
2020-06-03,9746115.0,8.0,165.0
2020-06-04,9746115.0,9.0,163.0
2020-06-05,9746115.0,9.0,190.0
2020-06-06,9746115.0,5.0,91.0
2020-06-07,9746115.0,2.0,184.0
2020-06-08,9746115.0,8.0,172.0
2020-06-09,9746115.0,4.0,123.0
2020-06-10,9746115.0,9.0,485.0
2020-06-11,9746115.0,19.0,425.0
2020-06-12,9746115.0,4.0,309.0
2020-06-13,9746115.0,12.0,463.0
2020-06-14,9746115.0,4.0,323.0
2020-06-15,9746115.0,2.0,403.0
2020-06-16,9746115.0,10.0,320.0
2020-06-17,9746115.0,8.0,478.0
2020-06-18,9746115.0,6.0,643.0
2020-06-19,9746115.0,7.0,440.0
2020-06-20,9746115.0,6.0,519.0
2020-06-21,9746115.0,9.0,992.0
2020-06-22,9746115.0,5.0,519.0
2020-06-23,9746115.0,32.0,587.0
2020-06-24,9746115.0,10.0,587.0
2020-06-25,9746115.0,12.0,628.0
2020-06-26,9746115.0,9.0,795.0
2020-06-27,9746115.0,45.0,628.0
2020-06-28,9746115.0,8.0,1013.0
2020-06-29,9746115.0,0.0,1075.0
2020-06-30,9746115.0,6.0,736.0
2020-07-01,9746115.0,12.0,740.0
2020-07-02,9746115.0,45.0,704.0
2020-07-03,9746115.0,49.0,858.0
2020-07-04,9746115.0,14.0,996.0
2020-07-05,9746115.0,24.0,805.0
