datetime,popData2019,deaths,cases
2020-01-01,270625567.0,0.0,0.0
2020-01-02,270625567.0,0.0,0.0
2020-01-03,270625567.0,0.0,0.0
2020-01-04,270625567.0,0.0,0.0
2020-01-05,270625567.0,0.0,0.0
2020-01-06,270625567.0,0.0,0.0
2020-01-07,270625567.0,0.0,0.0
2020-01-08,270625567.0,0.0,0.0
2020-01-09,270625567.0,0.0,0.0
2020-01-10,270625567.0,0.0,0.0
2020-01-11,270625567.0,0.0,0.0
2020-01-12,270625567.0,0.0,0.0
2020-01-13,270625567.0,0.0,0.0
2020-01-14,270625567.0,0.0,0.0
2020-01-15,270625567.0,0.0,0.0
2020-01-16,270625567.0,0.0,0.0
2020-01-17,270625567.0,0.0,0.0
2020-01-18,270625567.0,0.0,0.0
2020-01-19,270625567.0,0.0,0.0
2020-01-20,270625567.0,0.0,0.0
2020-01-21,270625567.0,0.0,0.0
2020-01-22,270625567.0,0.0,0.0
2020-01-23,270625567.0,0.0,0.0
2020-01-24,270625567.0,0.0,0.0
2020-01-25,270625567.0,0.0,0.0
2020-01-26,270625567.0,0.0,0.0
2020-01-27,270625567.0,0.0,0.0
2020-01-28,270625567.0,0.0,0.0
2020-01-29,270625567.0,0.0,0.0
2020-01-30,270625567.0,0.0,0.0
2020-01-31,270625567.0,0.0,0.0
2020-02-01,270625567.0,0.0,0.0
2020-02-02,270625567.0,0.0,0.0
2020-02-03,270625567.0,0.0,0.0
2020-02-04,270625567.0,0.0,0.0
2020-02-05,270625567.0,0.0,0.0
2020-02-06,270625567.0,0.0,0.0
2020-02-07,270625567.0,0.0,0.0
2020-02-08,270625567.0,0.0,0.0
2020-02-09,270625567.0,0.0,0.0
2020-02-10,270625567.0,0.0,0.0
2020-02-11,270625567.0,0.0,0.0
2020-02-12,270625567.0,0.0,0.0
2020-02-13,270625567.0,0.0,0.0
2020-02-14,270625567.0,0.0,0.0
2020-02-15,270625567.0,0.0,0.0
2020-02-16,270625567.0,0.0,0.0
2020-02-17,270625567.0,0.0,0.0
2020-02-18,270625567.0,0.0,0.0
2020-02-19,270625567.0,0.0,0.0
2020-02-20,270625567.0,0.0,0.0
2020-02-21,270625567.0,0.0,0.0
2020-02-22,270625567.0,0.0,0.0
2020-02-23,270625567.0,0.0,0.0
2020-02-24,270625567.0,0.0,0.0
2020-02-25,270625567.0,0.0,0.0
2020-02-26,270625567.0,0.0,0.0
2020-02-27,270625567.0,0.0,0.0
2020-02-28,270625567.0,0.0,0.0
2020-02-29,270625567.0,0.0,0.0
2020-03-01,270625567.0,0.0,0.0
2020-03-02,270625567.0,0.0,2.0
2020-03-07,270625567.0,0.0,2.0
2020-03-09,270625567.0,0.0,2.0
2020-03-11,270625567.0,0.0,13.0
2020-03-12,270625567.0,1.0,15.0
2020-03-14,270625567.0,3.0,35.0
2020-03-15,270625567.0,0.0,27.0
2020-03-16,270625567.0,1.0,21.0
2020-03-17,270625567.0,0.0,17.0
2020-03-18,270625567.0,0.0,38.0
2020-03-19,270625567.0,0.0,0.0
2020-03-20,270625567.0,14.0,55.0
2020-03-21,270625567.0,6.0,82.0
2020-03-22,270625567.0,13.0,141.0
2020-03-23,270625567.0,10.0,64.0
2020-03-24,270625567.0,1.0,65.0
2020-03-25,270625567.0,6.0,107.0
2020-03-26,270625567.0,3.0,104.0
2020-03-27,270625567.0,20.0,103.0
2020-03-28,270625567.0,9.0,153.0
2020-03-29,270625567.0,15.0,109.0
2020-03-30,270625567.0,12.0,130.0
2020-03-31,270625567.0,8.0,129.0
2020-04-01,270625567.0,14.0,114.0
2020-04-02,270625567.0,21.0,149.0
2020-04-03,270625567.0,13.0,113.0
2020-04-04,270625567.0,11.0,196.0
2020-04-05,270625567.0,10.0,106.0
2020-04-06,270625567.0,7.0,181.0
2020-04-07,270625567.0,11.0,218.0
2020-04-08,270625567.0,12.0,247.0
2020-04-09,270625567.0,19.0,218.0
2020-04-10,270625567.0,40.0,337.0
2020-04-11,270625567.0,26.0,219.0
2020-04-12,270625567.0,21.0,330.0
2020-04-13,270625567.0,46.0,399.0
2020-04-14,270625567.0,26.0,316.0
2020-04-15,270625567.0,60.0,282.0
2020-04-16,270625567.0,10.0,297.0
2020-04-17,270625567.0,27.0,380.0
2020-04-18,270625567.0,24.0,407.0
2020-04-19,270625567.0,15.0,325.0
2020-04-20,270625567.0,47.0,327.0
2020-04-21,270625567.0,8.0,185.0
2020-04-22,270625567.0,26.0,375.0
2020-04-23,270625567.0,19.0,283.0
2020-04-24,270625567.0,12.0,357.0
2020-04-25,270625567.0,42.0,436.0
2020-04-26,270625567.0,31.0,396.0
2020-04-27,270625567.0,23.0,275.0
