datetime,popData2019,deaths,cases
2020-04-03,18628749.0,0.0,3.0
2020-04-04,18628749.0,0.0,0.0
2020-04-05,18628749.0,0.0,1.0
2020-04-06,18628749.0,0.0,0.0
2020-04-07,18628749.0,0.0,1.0
2020-04-08,18628749.0,1.0,3.0
2020-04-09,18628749.0,0.0,0.0
2020-04-10,18628749.0,0.0,0.0
2020-04-11,18628749.0,0.0,1.0
2020-04-12,18628749.0,1.0,3.0
2020-04-13,18628749.0,0.0,1.0
2020-04-14,18628749.0,0.0,3.0
2020-04-15,18628749.0,0.0,0.0
2020-04-16,18628749.0,0.0,0.0
2020-04-17,18628749.0,0.0,0.0
2020-04-18,18628749.0,0.0,1.0
2020-04-19,18628749.0,0.0,0.0
2020-04-20,18628749.0,0.0,0.0
2020-04-21,18628749.0,0.0,0.0
2020-04-22,18628749.0,0.0,1.0
2020-04-23,18628749.0,1.0,5.0
2020-04-24,18628749.0,0.0,10.0
2020-04-25,18628749.0,0.0,0.0
2020-04-26,18628749.0,0.0,0.0
2020-04-27,18628749.0,0.0,1.0
2020-04-28,18628749.0,0.0,2.0
2020-04-29,18628749.0,0.0,0.0
2020-04-30,18628749.0,0.0,0.0
2020-05-01,18628749.0,0.0,1.0
2020-05-02,18628749.0,0.0,0.0
2020-05-03,18628749.0,0.0,1.0
2020-05-04,18628749.0,0.0,1.0
2020-05-05,18628749.0,0.0,2.0
2020-05-06,18628749.0,0.0,0.0
2020-05-07,18628749.0,0.0,2.0
2020-05-08,18628749.0,0.0,0.0
2020-05-09,18628749.0,0.0,0.0
2020-05-10,18628749.0,0.0,13.0
2020-05-11,18628749.0,0.0,0.0
2020-05-12,18628749.0,0.0,1.0
2020-05-13,18628749.0,0.0,1.0
2020-05-14,18628749.0,0.0,5.0
2020-05-15,18628749.0,0.0,0.0
2020-05-16,18628749.0,0.0,0.0
2020-05-17,18628749.0,0.0,2.0
2020-05-18,18628749.0,0.0,5.0
2020-05-19,18628749.0,0.0,0.0
2020-05-20,18628749.0,0.0,1.0
2020-05-21,18628749.0,0.0,1.0
2020-05-22,18628749.0,0.0,0.0
2020-05-23,18628749.0,0.0,10.0
2020-05-24,18628749.0,1.0,1.0
2020-05-25,18628749.0,0.0,0.0
2020-05-26,18628749.0,0.0,18.0
2020-05-27,18628749.0,0.0,0.0
2020-05-28,18628749.0,0.0,0.0
2020-05-29,18628749.0,0.0,102.0
