datetime,popData2019,deaths,cases
2020-03-08,530957.0,0.0,2.0
2020-03-09,530957.0,0.0,2.0
2020-03-11,530957.0,0.0,2.0
2020-03-12,530957.0,0.0,2.0
2020-03-14,530957.0,0.0,1.0
2020-03-15,530957.0,0.0,0.0
2020-03-16,530957.0,0.0,4.0
2020-03-17,530957.0,0.0,0.0
2020-03-18,530957.0,0.0,0.0
2020-03-19,530957.0,0.0,0.0
2020-03-20,530957.0,0.0,0.0
2020-03-21,530957.0,0.0,0.0
2020-03-22,530957.0,0.0,0.0
2020-03-23,530957.0,0.0,0.0
2020-03-24,530957.0,0.0,0.0
2020-03-25,530957.0,0.0,0.0
2020-03-26,530957.0,0.0,0.0
2020-03-27,530957.0,0.0,0.0
2020-03-28,530957.0,0.0,1.0
2020-03-29,530957.0,0.0,2.0
2020-03-30,530957.0,0.0,1.0
2020-03-31,530957.0,0.0,0.0
2020-04-01,530957.0,0.0,1.0
2020-04-02,530957.0,0.0,1.0
2020-04-03,530957.0,0.0,0.0
2020-04-04,530957.0,0.0,0.0
2020-04-05,530957.0,0.0,0.0
2020-04-06,530957.0,0.0,0.0
2020-04-07,530957.0,0.0,0.0
2020-04-08,530957.0,0.0,0.0
2020-04-09,530957.0,0.0,0.0
2020-04-10,530957.0,0.0,0.0
2020-04-11,530957.0,0.0,0.0
2020-04-12,530957.0,0.0,0.0
2020-04-13,530957.0,0.0,1.0
2020-04-14,530957.0,0.0,0.0
2020-04-15,530957.0,0.0,1.0
2020-04-16,530957.0,0.0,0.0
2020-04-17,530957.0,0.0,4.0
2020-04-18,530957.0,0.0,4.0
2020-04-19,530957.0,0.0,6.0
2020-04-20,530957.0,0.0,17.0
2020-04-21,530957.0,0.0,17.0
2020-04-22,530957.0,0.0,16.0
2020-04-23,530957.0,0.0,0.0
2020-04-24,530957.0,0.0,25.0
2020-04-25,530957.0,0.0,18.0
2020-04-26,530957.0,0.0,9.0
2020-04-27,530957.0,0.0,77.0
2020-04-28,530957.0,0.0,0.0
2020-04-29,530957.0,0.0,31.0
2020-04-30,530957.0,0.0,32.0
2020-05-01,530957.0,1.0,191.0
2020-05-02,530957.0,0.0,23.0
2020-05-03,530957.0,0.0,28.0
2020-05-04,530957.0,0.0,8.0
2020-05-05,530957.0,0.0,24.0
2020-05-06,530957.0,0.0,22.0
2020-05-07,530957.0,1.0,44.0
2020-05-08,530957.0,1.0,25.0
2020-05-09,530957.0,0.0,2.0
2020-05-10,530957.0,0.0,146.0
2020-05-11,530957.0,0.0,45.0
