datetime,popData2019,deaths,cases
2020-03-26,19658023.0,0.0,2.0
2020-03-27,19658023.0,0.0,2.0
2020-03-28,19658023.0,0.0,0.0
2020-03-29,19658023.0,0.0,5.0
2020-03-30,19658023.0,0.0,9.0
2020-03-31,19658023.0,0.0,0.0
2020-04-01,19658023.0,1.0,0.0
2020-04-02,19658023.0,0.0,10.0
2020-04-03,19658023.0,2.0,8.0
2020-04-04,19658023.0,0.0,3.0
2020-04-05,19658023.0,0.0,2.0
2020-04-06,19658023.0,2.0,4.0
2020-04-07,19658023.0,0.0,2.0
2020-04-08,19658023.0,0.0,9.0
2020-04-09,19658023.0,2.0,3.0
2020-04-10,19658023.0,0.0,0.0
2020-04-11,19658023.0,0.0,28.0
2020-04-12,19658023.0,2.0,18.0
2020-04-13,19658023.0,0.0,11.0
2020-04-14,19658023.0,1.0,7.0
2020-04-15,19658023.0,3.0,21.0
2020-04-16,19658023.0,0.0,4.0
2020-04-17,19658023.0,0.0,23.0
2020-04-18,19658023.0,0.0,19.0
2020-04-19,19658023.0,0.0,26.0
2020-04-20,19658023.0,1.0,8.0
2020-04-21,19658023.0,0.0,22.0
2020-04-22,19658023.0,0.0,12.0
2020-04-23,19658023.0,3.0,35.0
2020-04-24,19658023.0,4.0,16.0
2020-04-25,19658023.0,0.0,16.0
2020-04-26,19658023.0,0.0,45.0
2020-04-27,19658023.0,2.0,19.0
2020-04-28,19658023.0,0.0,19.0
2020-04-29,19658023.0,1.0,16.0
2020-04-30,19658023.0,1.0,58.0
2020-05-01,19658023.0,1.0,8.0
2020-05-02,19658023.0,0.0,18.0
2020-05-03,19658023.0,0.0,36.0
2020-05-04,19658023.0,1.0,19.0
2020-05-05,19658023.0,2.0,17.0
2020-05-06,19658023.0,3.0,32.0
2020-05-07,19658023.0,0.0,19.0
2020-05-08,19658023.0,0.0,19.0
2020-05-09,19658023.0,3.0,18.0
2020-05-10,19658023.0,2.0,24.0
2020-05-11,19658023.0,1.0,12.0
2020-05-12,19658023.0,1.0,8.0
2020-05-13,19658023.0,1.0,18.0
2020-05-14,19658023.0,4.0,28.0
2020-05-15,19658023.0,2.0,21.0
2020-05-16,19658023.0,0.0,27.0
2020-05-17,19658023.0,2.0,29.0
2020-05-18,19658023.0,4.0,25.0
2020-05-19,19658023.0,0.0,14.0
2020-05-20,19658023.0,1.0,27.0
2020-05-21,19658023.0,2.0,30.0
2020-05-22,19658023.0,5.0,16.0
2020-05-23,19658023.0,2.0,22.0
2020-05-24,19658023.0,1.0,46.0
2020-05-25,19658023.0,2.0,15.0
2020-05-26,19658023.0,2.0,29.0
2020-05-27,19658023.0,3.0,18.0
2020-05-28,19658023.0,0.0,39.0
2020-05-29,19658023.0,2.0,78.0
2020-05-30,19658023.0,1.0,32.0
2020-05-31,19658023.0,3.0,24.0
2020-06-01,19658023.0,1.0,15.0
2020-06-02,19658023.0,1.0,50.0
2020-06-03,19658023.0,0.0,36.0
2020-06-04,19658023.0,0.0,0.0
2020-06-05,19658023.0,7.0,110.0
2020-06-06,19658023.0,2.0,24.0
2020-06-07,19658023.0,3.0,38.0
2020-06-08,19658023.0,2.0,10.0
2020-06-09,19658023.0,0.0,14.0
2020-06-10,19658023.0,2.0,39.0
2020-06-11,19658023.0,2.0,81.0
2020-06-12,19658023.0,1.0,55.0
2020-06-13,19658023.0,4.0,30.0
2020-06-14,19658023.0,3.0,24.0
2020-06-15,19658023.0,0.0,33.0
2020-06-16,19658023.0,0.0,51.0
2020-06-17,19658023.0,2.0,25.0
2020-06-18,19658023.0,1.0,5.0
2020-06-19,19658023.0,0.0,16.0
2020-06-20,19658023.0,1.0,17.0
2020-06-21,19658023.0,1.0,10.0
2020-06-22,19658023.0,2.0,28.0
2020-06-23,19658023.0,0.0,0.0
2020-06-24,19658023.0,0.0,17.0
2020-06-25,19658023.0,1.0,23.0
2020-06-26,19658023.0,1.0,6.0
2020-06-27,19658023.0,0.0,32.0
2020-06-28,19658023.0,0.0,79.0
2020-06-29,19658023.0,1.0,29.0
2020-06-30,19658023.0,1.0,26.0
2020-07-01,19658023.0,1.0,8.0
2020-07-02,19658023.0,0.0,21.0
2020-07-03,19658023.0,1.0,58.0
2020-07-04,19658023.0,0.0,25.0
2020-07-05,19658023.0,1.0,18.0
2020-07-06,19658023.0,1.0,27.0
2020-07-07,19658023.0,0.0,1.0
2020-07-08,19658023.0,0.0,17.0
2020-07-09,19658023.0,1.0,10.0
2020-07-10,19658023.0,0.0,0.0
2020-07-11,19658023.0,1.0,46.0
2020-07-12,19658023.0,0.0,2.0
2020-07-13,19658023.0,0.0,5.0
2020-07-14,19658023.0,0.0,1.0
2020-07-15,19658023.0,0.0,11.0
2020-07-16,19658023.0,0.0,10.0
2020-07-17,19658023.0,0.0,7.0
2020-07-18,19658023.0,0.0,27.0
2020-07-19,19658023.0,0.0,5.0
2020-07-20,19658023.0,0.0,3.0
2020-07-21,19658023.0,0.0,0.0
2020-07-22,19658023.0,1.0,2.0
2020-07-23,19658023.0,1.0,17.0
2020-07-24,19658023.0,0.0,0.0
2020-07-25,19658023.0,0.0,9.0
2020-07-26,19658023.0,0.0,0.0
2020-07-27,19658023.0,0.0,7.0
2020-07-28,19658023.0,1.0,3.0
2020-07-29,19658023.0,0.0,7.0
2020-07-30,19658023.0,0.0,1.0
2020-07-31,19658023.0,0.0,1.0
2020-08-01,19658023.0,0.0,13.0
2020-08-02,19658023.0,0.0,0.0
2020-08-03,19658023.0,0.0,6.0
2020-08-04,19658023.0,0.0,2.0
2020-08-05,19658023.0,0.0,0.0
2020-08-06,19658023.0,0.0,3.0
2020-08-07,19658023.0,0.0,6.0
2020-08-08,19658023.0,1.0,9.0
2020-08-09,19658023.0,0.0,4.0
2020-08-10,19658023.0,0.0,2.0
2020-08-11,19658023.0,0.0,6.0
2020-08-12,19658023.0,0.0,4.0
2020-08-13,19658023.0,0.0,5.0
