datetime,popData2019,deaths,cases
2020-03-08,4043258.0,0.0,1.0
2020-03-11,4043258.0,0.0,2.0
2020-03-12,4043258.0,0.0,1.0
2020-03-13,4043258.0,0.0,2.0
2020-03-14,4043258.0,0.0,2.0
2020-03-15,4043258.0,0.0,12.0
2020-03-16,4043258.0,0.0,3.0
2020-03-17,4043258.0,0.0,6.0
2020-03-18,4043258.0,0.0,1.0
2020-03-19,4043258.0,1.0,6.0
2020-03-20,4043258.0,0.0,13.0
2020-03-21,4043258.0,0.0,17.0
2020-03-22,4043258.0,0.0,14.0
2020-03-23,4043258.0,0.0,14.0
2020-03-24,4043258.0,0.0,15.0
2020-03-25,4043258.0,0.0,16.0
2020-03-26,4043258.0,0.0,24.0
2020-03-27,4043258.0,0.0,28.0
2020-03-28,4043258.0,1.0,22.0
2020-03-29,4043258.0,0.0,32.0
2020-03-30,4043258.0,0.0,32.0
2020-03-31,4043258.0,0.0,35.0
2020-04-01,4043258.0,2.0,55.0
2020-04-02,4043258.0,1.0,70.0
2020-04-03,4043258.0,1.0,82.0
2020-04-04,4043258.0,2.0,86.0
2020-04-05,4043258.0,4.0,161.0
2020-04-06,4043258.0,3.0,112.0
2020-04-07,4043258.0,4.0,101.0
2020-04-08,4043258.0,3.0,91.0
2020-04-09,4043258.0,5.0,118.0
2020-04-10,4043258.0,2.0,115.0
2020-04-11,4043258.0,0.0,149.0
2020-04-12,4043258.0,1.0,122.0
2020-04-13,4043258.0,2.0,102.0
2020-04-14,4043258.0,4.0,50.0
2020-04-15,4043258.0,4.0,222.0
2020-04-16,4043258.0,6.0,115.0
2020-04-17,4043258.0,8.0,105.0
2020-04-18,4043258.0,2.0,110.0
2020-04-19,4043258.0,4.0,87.0
2020-04-20,4043258.0,7.0,121.0
2020-04-21,4043258.0,3.0,76.0
2020-04-22,4043258.0,3.0,66.0
2020-04-23,4043258.0,3.0,164.0
2020-04-24,4043258.0,4.0,148.0
2020-04-25,4043258.0,7.0,184.0
2020-04-26,4043258.0,7.0,194.0
2020-04-27,4043258.0,2.0,104.0
2020-04-28,4043258.0,6.0,73.0
2020-04-29,4043258.0,5.0,157.0
2020-04-30,4043258.0,4.0,133.0
2020-05-01,4043258.0,8.0,126.0
2020-05-02,4043258.0,3.0,83.0
2020-05-03,4043258.0,2.0,72.0
2020-05-04,4043258.0,1.0,69.0
2020-05-05,4043258.0,7.0,127.0
2020-05-06,4043258.0,4.0,115.0
2020-05-07,4043258.0,7.0,113.0
2020-05-08,4043258.0,2.0,129.0
2020-05-09,4043258.0,7.0,123.0
2020-05-10,4043258.0,9.0,139.0
2020-05-11,4043258.0,8.0,60.0
2020-05-12,4043258.0,6.0,68.0
2020-05-13,4043258.0,7.0,159.0
2020-05-14,4043258.0,3.0,252.0
2020-05-15,4043258.0,9.0,147.0
2020-05-16,4043258.0,3.0,192.0
2020-05-17,4043258.0,10.0,189.0
2020-05-18,4043258.0,4.0,126.0
2020-05-19,4043258.0,4.0,78.0
2020-05-20,4043258.0,6.0,202.0
2020-05-21,4043258.0,7.0,213.0
2020-05-22,4043258.0,5.0,151.0
2020-05-23,4043258.0,4.0,143.0
2020-05-24,4043258.0,5.0,147.0
2020-05-25,4043258.0,8.0,99.0
2020-05-26,4043258.0,11.0,54.0
2020-05-27,4043258.0,6.0,158.0
2020-05-28,4043258.0,7.0,232.0
2020-05-29,4043258.0,8.0,188.0
2020-05-30,4043258.0,6.0,171.0
2020-05-31,4043258.0,3.0,202.0
2020-06-01,4043258.0,4.0,153.0
2020-06-02,4043258.0,12.0,109.0
2020-06-03,4043258.0,0.0,188.0
2020-06-04,4043258.0,3.0,247.0
2020-06-05,4043258.0,5.0,223.0
2020-06-06,4043258.0,8.0,229.0
2020-06-07,4043258.0,8.0,264.0
2020-06-08,4043258.0,10.0,189.0
2020-06-09,4043258.0,12.0,107.0
2020-06-10,4043258.0,12.0,218.0
2020-06-11,4043258.0,6.0,296.0
2020-06-12,4043258.0,4.0,406.0
2020-06-13,4043258.0,10.0,366.0
2020-06-14,4043258.0,13.0,366.0
2020-06-15,4043258.0,8.0,281.0
2020-06-16,4043258.0,5.0,139.0
2020-06-17,4043258.0,12.0,375.0
2020-06-18,4043258.0,10.0,478.0
2020-06-19,4043258.0,11.0,374.0
2020-06-20,4043258.0,6.0,450.0
2020-06-21,4043258.0,14.0,397.0
2020-06-22,4043258.0,9.0,247.0
2020-06-23,4043258.0,7.0,163.0
2020-06-24,4043258.0,10.0,351.0
2020-06-25,4043258.0,5.0,364.0
2020-06-26,4043258.0,7.0,375.0
2020-06-27,4043258.0,13.0,323.0
2020-06-28,4043258.0,6.0,304.0
2020-06-29,4043258.0,9.0,170.0
2020-06-30,4043258.0,6.0,107.0
2020-07-01,4043258.0,9.0,256.0
2020-07-02,4043258.0,4.0,285.0
2020-07-03,4043258.0,11.0,252.0
2020-07-04,4043258.0,12.0,295.0
2020-07-05,4043258.0,8.0,227.0
2020-07-06,4043258.0,5.0,142.0
2020-07-07,4043258.0,10.0,92.0
2020-07-08,4043258.0,8.0,235.0
2020-07-09,4043258.0,11.0,330.0
2020-07-10,4043258.0,10.0,195.0
2020-07-11,4043258.0,11.0,258.0
2020-07-12,4043258.0,5.0,284.0
2020-07-13,4043258.0,2.0,174.0
2020-07-14,4043258.0,7.0,57.0
2020-07-15,4043258.0,9.0,269.0
2020-07-16,4043258.0,1.0,332.0
2020-07-17,4043258.0,7.0,224.0
2020-07-18,4043258.0,9.0,230.0
2020-07-19,4043258.0,5.0,300.0
2020-07-20,4043258.0,4.0,186.0
2020-07-21,4043258.0,11.0,135.0
2020-07-22,4043258.0,12.0,327.0
2020-07-23,4043258.0,5.0,356.0
2020-07-24,4043258.0,7.0,307.0
2020-07-25,4043258.0,7.0,378.0
2020-07-26,4043258.0,6.0,345.0
2020-07-27,4043258.0,3.0,206.0
2020-07-28,4043258.0,13.0,120.0
