datetime,popData2019,deaths,cases
2020-03-21,23310719.0,0.0,1.0
2020-03-22,23310719.0,0.0,0.0
2020-03-23,23310719.0,0.0,0.0
2020-03-24,23310719.0,0.0,1.0
2020-03-25,23310719.0,1.0,5.0
2020-03-26,23310719.0,0.0,0.0
2020-03-27,23310719.0,0.0,3.0
2020-03-28,23310719.0,0.0,0.0
2020-03-29,23310719.0,0.0,0.0
2020-03-30,23310719.0,0.0,0.0
2020-03-31,23310719.0,2.0,10.0
2020-04-01,23310719.0,0.0,0.0
2020-04-02,23310719.0,2.0,54.0
2020-04-03,23310719.0,0.0,0.0
2020-04-04,23310719.0,0.0,24.0
2020-04-05,23310719.0,0.0,22.0
2020-04-06,23310719.0,5.0,64.0
2020-04-07,23310719.0,0.0,69.0
2020-04-08,23310719.0,1.0,25.0
2020-04-09,23310719.0,0.0,64.0
2020-04-10,23310719.0,0.0,68.0
2020-04-11,23310719.0,0.0,28.0
2020-04-12,23310719.0,0.0,53.0
2020-04-13,23310719.0,1.0,38.0
2020-04-14,23310719.0,1.0,19.0
2020-04-15,23310719.0,1.0,22.0
2020-04-16,23310719.0,0.0,14.0
2020-04-17,23310719.0,1.0,25.0
2020-04-18,23310719.0,3.0,18.0
2020-04-19,23310719.0,1.0,12.0
2020-04-20,23310719.0,1.0,9.0
2020-04-21,23310719.0,0.0,7.0
2020-04-22,23310719.0,0.0,0.0
2020-04-23,23310719.0,2.0,7.0
2020-04-24,23310719.0,2.0,9.0
2020-04-25,23310719.0,0.0,10.0
2020-04-26,23310719.0,3.0,3.0
2020-04-27,23310719.0,2.0,12.0
2020-04-28,23310719.0,0.0,5.0
2020-04-29,23310719.0,2.0,8.0
2020-04-30,23310719.0,1.0,4.0
2020-05-01,23310719.0,0.0,6.0
2020-05-02,23310719.0,1.0,9.0
2020-05-03,23310719.0,2.0,8.0
2020-05-04,23310719.0,1.0,14.0
2020-05-05,23310719.0,1.0,5.0
2020-05-06,23310719.0,1.0,8.0
2020-05-07,23310719.0,0.0,7.0
2020-05-08,23310719.0,4.0,11.0
2020-05-09,23310719.0,2.0,14.0
2020-05-10,23310719.0,1.0,20.0
2020-05-11,23310719.0,1.0,6.0
2020-05-12,23310719.0,0.0,11.0
2020-05-13,23310719.0,1.0,22.0
2020-05-14,23310719.0,2.0,6.0
2020-05-15,23310719.0,1.0,16.0
2020-05-16,23310719.0,1.0,9.0
2020-05-17,23310719.0,0.0,4.0
2020-05-18,23310719.0,3.0,15.0
2020-05-19,23310719.0,1.0,5.0
2020-05-20,23310719.0,0.0,5.0
2020-05-21,23310719.0,3.0,6.0
2020-05-22,23310719.0,2.0,4.0
2020-05-23,23310719.0,0.0,13.0
2020-05-24,23310719.0,1.0,6.0
2020-05-25,23310719.0,0.0,2.0
2020-05-26,23310719.0,1.0,6.0
2020-05-27,23310719.0,1.0,1.0
2020-05-28,23310719.0,1.0,3.0
2020-05-29,23310719.0,0.0,0.0
2020-05-30,23310719.0,0.0,0.0
2020-05-31,23310719.0,0.0,1.0
2020-06-01,23310719.0,0.0,2.0
2020-06-02,23310719.0,1.0,0.0
2020-06-03,23310719.0,0.0,2.0
2020-06-04,23310719.0,0.0,1.0
2020-06-05,23310719.0,0.0,2.0
2020-06-06,23310719.0,0.0,3.0
2020-06-07,23310719.0,0.0,4.0
2020-06-08,23310719.0,0.0,3.0
2020-06-09,23310719.0,0.0,0.0
2020-06-10,23310719.0,0.0,1.0
2020-06-11,23310719.0,0.0,0.0
2020-06-12,23310719.0,0.0,0.0
2020-06-13,23310719.0,0.0,4.0
2020-06-14,23310719.0,1.0,2.0
2020-06-15,23310719.0,0.0,0.0
2020-06-16,23310719.0,0.0,0.0
2020-06-17,23310719.0,0.0,36.0
2020-06-18,23310719.0,1.0,4.0
2020-06-19,23310719.0,0.0,0.0
2020-06-20,23310719.0,0.0,0.0
2020-06-21,23310719.0,0.0,15.0
2020-06-22,23310719.0,0.0,1.0
2020-06-23,23310719.0,0.0,10.0
2020-06-24,23310719.0,0.0,5.0
2020-06-25,23310719.0,0.0,5.0
2020-06-26,23310719.0,0.0,3.0
2020-06-27,23310719.0,0.0,3.0
2020-06-28,23310719.0,0.0,6.0
2020-06-29,23310719.0,0.0,6.0
2020-06-30,23310719.0,0.0,1.0
2020-07-01,23310719.0,0.0,0.0
2020-07-02,23310719.0,0.0,0.0
2020-07-03,23310719.0,1.0,6.0
2020-07-04,23310719.0,0.0,1.0
2020-07-05,23310719.0,0.0,0.0
2020-07-06,23310719.0,0.0,11.0
2020-07-07,23310719.0,0.0,0.0
2020-07-08,23310719.0,0.0,1.0
2020-07-09,23310719.0,0.0,3.0
2020-07-10,23310719.0,0.0,0.0
2020-07-11,23310719.0,0.0,2.0
2020-07-12,23310719.0,0.0,0.0
2020-07-13,23310719.0,0.0,0.0
2020-07-14,23310719.0,0.0,0.0
2020-07-15,23310719.0,0.0,0.0
2020-07-16,23310719.0,1.0,1.0
2020-07-17,23310719.0,0.0,2.0
2020-07-18,23310719.0,0.0,0.0
2020-07-19,23310719.0,0.0,2.0
