datetime,popData2019,deaths,cases
2020-03-10,4246440.0,0.0,1.0
2020-03-11,4246440.0,1.0,6.0
2020-03-12,4246440.0,0.0,7.0
2020-03-13,4246440.0,0.0,13.0
2020-03-14,4246440.0,0.0,9.0
2020-03-15,4246440.0,0.0,7.0
2020-03-16,4246440.0,0.0,0.0
2020-03-17,4246440.0,0.0,26.0
2020-03-18,4246440.0,0.0,17.0
2020-03-19,4246440.0,0.0,23.0
2020-03-20,4246440.0,0.0,28.0
2020-03-21,4246440.0,0.0,63.0
2020-03-22,4246440.0,2.0,45.0
2020-03-23,4246440.0,0.0,68.0
2020-03-24,4246440.0,3.0,32.0
2020-03-25,4246440.0,0.0,98.0
2020-03-26,4246440.0,0.0,145.0
2020-03-27,4246440.0,3.0,86.0
2020-03-28,4246440.0,5.0,112.0
2020-03-29,4246440.0,3.0,115.0
2020-03-30,4246440.0,7.0,88.0
2020-03-31,4246440.0,2.0,86.0
2020-04-01,4246440.0,4.0,106.0
2020-04-02,4246440.0,2.0,136.0
2020-04-03,4246440.0,5.0,158.0
2020-04-04,4246440.0,4.0,198.0
2020-04-05,4246440.0,5.0,128.0
2020-04-06,4246440.0,8.0,187.0
2020-04-07,4246440.0,1.0,112.0
2020-04-08,4246440.0,4.0,149.0
2020-04-09,4246440.0,4.0,279.0
2020-04-10,4246440.0,3.0,224.0
2020-04-11,4246440.0,8.0,222.0
2020-04-12,4246440.0,5.0,260.0
2020-04-13,4246440.0,8.0,166.0
2020-04-14,4246440.0,7.0,72.0
2020-04-15,4246440.0,1.0,102.0
2020-04-16,4246440.0,8.0,177.0
2020-04-17,4246440.0,6.0,265.0
2020-04-18,4246440.0,7.0,194.0
2020-04-19,4246440.0,4.0,63.0
2020-04-20,4246440.0,6.0,194.0
2020-04-21,4246440.0,10.0,191.0
2020-04-22,4246440.0,5.0,163.0
2020-04-23,4246440.0,3.0,171.0
2020-04-24,4246440.0,2.0,174.0
2020-04-25,4246440.0,8.0,172.0
2020-04-26,4246440.0,5.0,200.0
2020-04-27,4246440.0,6.0,241.0
2020-04-28,4246440.0,2.0,242.0
2020-04-29,4246440.0,9.0,179.0
2020-04-30,4246440.0,2.0,178.0
2020-05-01,4246440.0,10.0,154.0
2020-05-02,4246440.0,4.0,188.0
2020-05-03,4246440.0,5.0,370.0
2020-05-04,4246440.0,3.0,107.0
2020-05-05,4246440.0,3.0,190.0
2020-05-06,4246440.0,7.0,136.0
2020-05-07,4246440.0,8.0,208.0
2020-05-08,4246440.0,7.0,137.0
2020-05-09,4246440.0,6.0,202.0
2020-05-10,4246440.0,6.0,212.0
2020-05-11,4246440.0,7.0,166.0
2020-05-12,4246440.0,5.0,168.0
2020-05-13,4246440.0,3.0,167.0
2020-05-14,4246440.0,4.0,161.0
2020-05-15,4246440.0,4.0,174.0
2020-05-16,4246440.0,6.0,150.0
2020-05-17,4246440.0,3.0,181.0
2020-05-18,4246440.0,6.0,157.0
2020-05-19,4246440.0,4.0,120.0
2020-05-20,4246440.0,2.0,141.0
2020-05-21,4246440.0,6.0,110.0
2020-05-22,4246440.0,4.0,139.0
2020-05-23,4246440.0,4.0,151.0
2020-05-24,4246440.0,4.0,310.0
2020-05-25,4246440.0,7.0,349.0
2020-05-26,4246440.0,4.0,257.0
2020-05-27,4246440.0,3.0,264.0
2020-05-28,4246440.0,2.0,281.0
2020-05-29,4246440.0,5.0,403.0
2020-05-30,4246440.0,6.0,400.0
2020-05-31,4246440.0,4.0,487.0
2020-06-01,4246440.0,6.0,445.0
2020-06-02,4246440.0,8.0,374.0
2020-06-03,4246440.0,8.0,258.0
2020-06-04,4246440.0,5.0,514.0
2020-06-05,4246440.0,6.0,435.0
2020-06-06,4246440.0,7.0,419.0
2020-06-07,4246440.0,16.0,541.0
2020-06-08,4246440.0,7.0,421.0
2020-06-09,4246440.0,5.0,429.0
2020-06-10,4246440.0,5.0,379.0
2020-06-11,4246440.0,10.0,656.0
2020-06-12,4246440.0,5.0,697.0
2020-06-13,4246440.0,3.0,625.0
2020-06-14,4246440.0,8.0,848.0
2020-06-15,4246440.0,8.0,627.0
2020-06-16,4246440.0,11.0,736.0
2020-06-17,4246440.0,9.0,540.0
2020-06-18,4246440.0,13.0,635.0
2020-06-19,4246440.0,5.0,754.0
2020-06-20,4246440.0,10.0,923.0
2020-06-21,4246440.0,8.0,948.0
2020-06-22,4246440.0,8.0,808.0
2020-06-23,4246440.0,20.0,722.0
2020-06-24,4246440.0,15.0,562.0
2020-06-25,4246440.0,11.0,716.0
2020-06-26,4246440.0,17.0,1007.0
2020-06-27,4246440.0,11.0,868.0
2020-06-28,4246440.0,17.0,753.0
2020-06-29,4246440.0,12.0,1028.0
2020-06-30,4246440.0,16.0,1099.0
2020-07-01,4246440.0,11.0,765.0
2020-07-02,4246440.0,14.0,913.0
2020-07-03,4246440.0,22.0,774.0
2020-07-04,4246440.0,31.0,758.0
2020-07-05,4246440.0,22.0,988.0
2020-07-06,4246440.0,27.0,1166.0
2020-07-07,4246440.0,23.0,1185.0
2020-07-08,4246440.0,29.0,957.0
2020-07-09,4246440.0,20.0,960.0
2020-07-10,4246440.0,20.0,965.0
2020-07-11,4246440.0,24.0,1041.0
2020-07-12,4246440.0,30.0,1075.0
2020-07-13,4246440.0,16.0,1301.0
2020-07-14,4246440.0,23.0,1540.0
2020-07-15,4246440.0,28.0,923.0
2020-07-16,4246440.0,22.0,1147.0
2020-07-17,4246440.0,18.0,1130.0
2020-07-18,4246440.0,38.0,1035.0
2020-07-19,4246440.0,33.0,853.0
2020-07-20,4246440.0,25.0,1207.0
2020-07-21,4246440.0,31.0,958.0
2020-07-22,4246440.0,32.0,727.0
2020-07-23,4246440.0,21.0,753.0
2020-07-24,4246440.0,29.0,911.0
2020-07-25,4246440.0,41.0,1176.0
2020-07-26,4246440.0,25.0,871.0
2020-07-27,4246440.0,19.0,1432.0
2020-07-28,4246440.0,28.0,1146.0
2020-07-29,4246440.0,27.0,781.0
2020-07-30,4246440.0,25.0,1046.0
2020-07-31,4246440.0,23.0,922.0
2020-08-01,4246440.0,24.0,1065.0
2020-08-02,4246440.0,28.0,1127.0
2020-08-03,4246440.0,22.0,1070.0
2020-08-04,4246440.0,26.0,1003.0
2020-08-05,4246440.0,25.0,968.0
2020-08-06,4246440.0,31.0,807.0
2020-08-07,4246440.0,21.0,1187.0
2020-08-08,4246440.0,17.0,1142.0
2020-08-09,4246440.0,18.0,1091.0
2020-08-10,4246440.0,30.0,841.0
2020-08-11,4246440.0,25.0,902.0
2020-08-12,4246440.0,16.0,1070.0
2020-08-13,4246440.0,23.0,913.0
2020-08-14,4246440.0,19.0,1069.0
2020-08-15,4246440.0,12.0,956.0
2020-08-16,4246440.0,12.0,1263.0
2020-08-17,4246440.0,21.0,1275.0
2020-08-18,4246440.0,21.0,603.0
2020-08-19,4246440.0,21.0,247.0
2020-08-20,4246440.0,18.0,964.0
2020-08-21,4246440.0,17.0,101.0
2020-08-22,4246440.0,15.0,537.0
2020-08-23,4246440.0,19.0,1088.0
2020-08-24,4246440.0,14.0,1420.0
2020-08-25,4246440.0,14.0,585.0
2020-08-26,4246440.0,13.0,896.0
2020-08-27,4246440.0,13.0,701.0
2020-08-28,4246440.0,16.0,900.0
2020-08-29,4246440.0,18.0,642.0
2020-08-30,4246440.0,17.0,713.0
2020-08-31,4246440.0,12.0,728.0
2020-09-01,4246440.0,7.0,917.0
2020-09-02,4246440.0,16.0,570.0
2020-09-03,4246440.0,12.0,532.0
2020-09-04,4246440.0,16.0,830.0
2020-09-05,4246440.0,17.0,682.0
2020-09-06,4246440.0,12.0,709.0
2020-09-07,4246440.0,11.0,738.0
2020-09-08,4246440.0,13.0,535.0
2020-09-09,4246440.0,8.0,829.0
2020-09-10,4246440.0,9.0,635.0
2020-09-11,4246440.0,11.0,673.0
2020-09-12,4246440.0,13.0,615.0
2020-09-13,4246440.0,15.0,711.0
2020-09-14,4246440.0,11.0,704.0
2020-09-15,4246440.0,7.0,459.0
2020-09-16,4246440.0,14.0,628.0
2020-09-17,4246440.0,11.0,634.0
2020-09-18,4246440.0,15.0,672.0
2020-09-19,4246440.0,16.0,741.0
2020-09-20,4246440.0,18.0,722.0
2020-09-21,4246440.0,10.0,602.0
2020-09-22,4246440.0,15.0,607.0
2020-09-23,4246440.0,13.0,474.0
2020-09-24,4246440.0,6.0,706.0
2020-09-25,4246440.0,6.0,736.0
2020-09-26,4246440.0,14.0,705.0
2020-09-27,4246440.0,12.0,677.0
2020-09-28,4246440.0,17.0,447.0
2020-09-29,4246440.0,8.0,722.0
2020-09-30,4246440.0,16.0,576.0
