datetime,popData2019,deaths,cases
2020-03-07,32510462.0,0.0,1.0
2020-03-09,32510462.0,0.0,6.0
2020-03-10,32510462.0,0.0,2.0
2020-03-11,32510462.0,0.0,2.0
2020-03-12,32510462.0,0.0,6.0
2020-03-13,32510462.0,0.0,5.0
2020-03-14,32510462.0,0.0,16.0
2020-03-15,32510462.0,0.0,5.0
2020-03-16,32510462.0,0.0,28.0
2020-03-17,32510462.0,0.0,15.0
2020-03-18,32510462.0,0.0,31.0
2020-03-19,32510462.0,0.0,28.0
2020-03-20,32510462.0,2.0,89.0
2020-03-21,32510462.0,1.0,29.0
2020-03-22,32510462.0,2.0,55.0
2020-03-23,32510462.0,0.0,45.0
2020-03-24,32510462.0,0.0,32.0
2020-03-25,32510462.0,2.0,21.0
2020-03-26,32510462.0,1.0,142.0
2020-03-27,32510462.0,1.0,22.0
2020-03-28,32510462.0,2.0,55.0
2020-03-29,32510462.0,5.0,36.0
2020-03-30,32510462.0,2.0,181.0
2020-03-31,32510462.0,6.0,98.0
2020-04-01,32510462.0,6.0,115.0
2020-04-02,32510462.0,17.0,258.0
2020-04-03,32510462.0,8.0,91.0
2020-04-04,32510462.0,6.0,181.0
2020-04-05,32510462.0,12.0,151.0
2020-04-06,32510462.0,10.0,535.0
2020-04-07,32510462.0,9.0,280.0
2020-04-08,32510462.0,15.0,393.0
2020-04-09,32510462.0,14.0,1388.0
2020-04-10,32510462.0,17.0,914.0
2020-04-11,32510462.0,31.0,641.0
2020-04-12,32510462.0,12.0,951.0
2020-04-13,32510462.0,12.0,671.0
2020-04-14,32510462.0,0.0,0.0
2020-04-15,32510462.0,37.0,2784.0
2020-04-16,32510462.0,24.0,1172.0
2020-04-17,32510462.0,20.0,1016.0
2020-04-18,32510462.0,26.0,998.0
2020-04-19,32510462.0,48.0,931.0
2020-04-20,32510462.0,52.0,1208.0
2020-04-21,32510462.0,45.0,697.0
2020-04-22,32510462.0,39.0,1512.0
2020-04-23,32510462.0,46.0,1413.0
2020-04-24,32510462.0,42.0,1664.0
2020-04-25,32510462.0,62.0,734.0
2020-04-26,32510462.0,66.0,3683.0
2020-04-27,32510462.0,28.0,2186.0
2020-04-28,32510462.0,54.0,1182.0
2020-04-29,32510462.0,72.0,2491.0
2020-04-30,32510462.0,89.0,2741.0
2020-05-01,32510462.0,108.0,3045.0
2020-05-02,32510462.0,73.0,3483.0
2020-05-03,32510462.0,76.0,2075.0
2020-05-04,32510462.0,86.0,3394.0
2020-05-05,32510462.0,58.0,1444.0
2020-05-06,32510462.0,100.0,3817.0
2020-05-07,32510462.0,89.0,3628.0
2020-05-08,32510462.0,94.0,3709.0
2020-05-09,32510462.0,87.0,3321.0
2020-05-10,32510462.0,100.0,3168.0
2020-05-11,32510462.0,75.0,2292.0
2020-05-12,32510462.0,72.0,1515.0
2020-05-13,32510462.0,96.0,3237.0
2020-05-14,32510462.0,112.0,4247.0
2020-05-15,32510462.0,98.0,4298.0
2020-05-16,32510462.0,126.0,3891.0
2020-05-17,32510462.0,130.0,4046.0
2020-05-18,32510462.0,125.0,3732.0
2020-05-19,32510462.0,141.0,2660.0
2020-05-20,32510462.0,125.0,4550.0
2020-05-21,32510462.0,110.0,4537.0
2020-05-22,32510462.0,124.0,4749.0
2020-05-23,32510462.0,96.0,2929.0
2020-05-24,32510462.0,129.0,4056.0
2020-05-25,32510462.0,83.0,4205.0
2020-05-26,32510462.0,173.0,4020.0
2020-05-27,32510462.0,159.0,5772.0
2020-05-28,32510462.0,195.0,6154.0
2020-05-29,32510462.0,116.0,5874.0
2020-05-30,32510462.0,131.0,6506.0
2020-05-31,32510462.0,141.0,7386.0
2020-06-01,32510462.0,135.0,8805.0
2020-06-02,32510462.0,128.0,5563.0
2020-06-03,32510462.0,0.0,0.0
2020-06-04,32510462.0,260.0,8875.0
2020-06-05,32510462.0,137.0,4284.0
2020-06-06,32510462.0,131.0,4202.0
2020-06-07,32510462.0,139.0,4358.0
2020-06-08,32510462.0,164.0,4757.0
2020-06-09,32510462.0,106.0,3181.0
2020-06-10,32510462.0,167.0,4040.0
2020-06-11,32510462.0,165.0,5087.0
2020-06-12,32510462.0,206.0,5965.0
2020-06-13,32510462.0,199.0,5961.0
2020-06-14,32510462.0,190.0,4383.0
2020-06-15,32510462.0,190.0,4604.0
2020-06-16,32510462.0,172.0,3256.0
2020-06-17,32510462.0,196.0,4164.0
2020-06-18,32510462.0,201.0,3752.0
2020-06-19,32510462.0,204.0,3480.0
2020-06-20,32510462.0,199.0,3537.0
2020-06-21,32510462.0,201.0,3413.0
2020-06-22,32510462.0,184.0,3598.0
2020-06-23,32510462.0,0.0,0.0
2020-06-24,32510462.0,359.0,5874.0
2020-06-25,32510462.0,182.0,3879.0
