datetime,popData2019,deaths,cases
2020-01-01,108116622.0,0.0,0.0
2020-01-02,108116622.0,0.0,0.0
2020-01-03,108116622.0,0.0,0.0
2020-01-04,108116622.0,0.0,0.0
2020-01-05,108116622.0,0.0,0.0
2020-01-06,108116622.0,0.0,0.0
2020-01-07,108116622.0,0.0,0.0
2020-01-08,108116622.0,0.0,0.0
2020-01-09,108116622.0,0.0,0.0
2020-01-10,108116622.0,0.0,0.0
2020-01-11,108116622.0,0.0,0.0
2020-01-12,108116622.0,0.0,0.0
2020-01-13,108116622.0,0.0,0.0
2020-01-14,108116622.0,0.0,0.0
2020-01-15,108116622.0,0.0,0.0
2020-01-16,108116622.0,0.0,0.0
2020-01-17,108116622.0,0.0,0.0
2020-01-18,108116622.0,0.0,0.0
2020-01-19,108116622.0,0.0,0.0
2020-01-20,108116622.0,0.0,0.0
2020-01-21,108116622.0,0.0,0.0
2020-01-22,108116622.0,0.0,0.0
2020-01-23,108116622.0,0.0,0.0
2020-01-24,108116622.0,0.0,0.0
2020-01-25,108116622.0,0.0,0.0
2020-01-26,108116622.0,0.0,0.0
2020-01-27,108116622.0,0.0,0.0
2020-01-28,108116622.0,0.0,0.0
2020-01-29,108116622.0,0.0,0.0
2020-01-30,108116622.0,0.0,1.0
2020-01-31,108116622.0,0.0,0.0
2020-02-01,108116622.0,0.0,0.0
2020-02-02,108116622.0,1.0,1.0
2020-02-03,108116622.0,0.0,0.0
2020-02-04,108116622.0,0.0,0.0
2020-02-05,108116622.0,0.0,0.0
2020-02-06,108116622.0,0.0,1.0
2020-02-07,108116622.0,0.0,0.0
2020-02-08,108116622.0,0.0,0.0
2020-02-09,108116622.0,0.0,0.0
2020-02-10,108116622.0,0.0,0.0
2020-02-11,108116622.0,0.0,0.0
2020-02-12,108116622.0,0.0,0.0
2020-02-13,108116622.0,0.0,0.0
2020-02-14,108116622.0,0.0,0.0
2020-02-15,108116622.0,0.0,0.0
2020-02-16,108116622.0,0.0,0.0
2020-02-17,108116622.0,0.0,0.0
2020-02-18,108116622.0,0.0,0.0
2020-02-19,108116622.0,0.0,0.0
2020-02-20,108116622.0,0.0,0.0
2020-02-21,108116622.0,0.0,0.0
2020-02-22,108116622.0,0.0,0.0
2020-02-23,108116622.0,0.0,0.0
2020-02-24,108116622.0,0.0,0.0
2020-02-25,108116622.0,0.0,0.0
2020-02-26,108116622.0,0.0,0.0
2020-02-27,108116622.0,0.0,0.0
2020-02-28,108116622.0,0.0,0.0
2020-02-29,108116622.0,0.0,0.0
2020-03-01,108116622.0,0.0,0.0
2020-03-02,108116622.0,0.0,0.0
2020-03-07,108116622.0,0.0,2.0
2020-03-08,108116622.0,0.0,1.0
2020-03-09,108116622.0,0.0,4.0
2020-03-10,108116622.0,0.0,23.0
2020-03-11,108116622.0,0.0,0.0
2020-03-12,108116622.0,1.0,16.0
2020-03-13,108116622.0,0.0,3.0
2020-03-14,108116622.0,4.0,12.0
2020-03-15,108116622.0,0.0,47.0
2020-03-16,108116622.0,6.0,29.0
2020-03-17,108116622.0,0.0,2.0
2020-03-18,108116622.0,2.0,45.0
2020-03-19,108116622.0,3.0,15.0
2020-03-20,108116622.0,1.0,28.0
2020-03-21,108116622.0,0.0,0.0
2020-03-22,108116622.0,7.0,150.0
2020-03-23,108116622.0,0.0,0.0
