datetime,popData2019,deaths,cases
2020-03-07,6963764.0,0.0,1.0
2020-03-11,6963764.0,0.0,4.0
2020-03-12,6963764.0,0.0,13.0
2020-03-13,6963764.0,0.0,6.0
2020-03-14,6963764.0,0.0,17.0
2020-03-15,6963764.0,0.0,5.0
2020-03-16,6963764.0,0.0,9.0
2020-03-17,6963764.0,0.0,2.0
2020-03-18,6963764.0,0.0,15.0
2020-03-19,6963764.0,0.0,22.0
2020-03-20,6963764.0,0.0,32.0
2020-03-21,6963764.0,1.0,9.0
2020-03-22,6963764.0,0.0,14.0
2020-03-23,6963764.0,0.0,39.0
2020-03-24,6963764.0,0.0,34.0
2020-03-25,6963764.0,0.0,27.0
2020-03-26,6963764.0,1.0,54.0
2020-03-27,6963764.0,1.0,81.0
2020-03-28,6963764.0,3.0,73.0
2020-03-29,6963764.0,4.0,202.0
2020-03-30,6963764.0,3.0,82.0
2020-03-31,6963764.0,3.0,44.0
2020-04-01,6963764.0,7.0,115.0
2020-04-02,6963764.0,0.0,160.0
2020-04-03,6963764.0,8.0,111.0
2020-04-04,6963764.0,8.0,305.0
2020-04-05,6963764.0,5.0,148.0
2020-04-06,6963764.0,7.0,284.0
2020-04-07,6963764.0,7.0,292.0
2020-04-08,6963764.0,3.0,247.0
2020-04-09,6963764.0,4.0,219.0
2020-04-10,6963764.0,1.0,201.0
2020-04-11,6963764.0,5.0,238.0
2020-04-12,6963764.0,3.0,275.0
2020-04-13,6963764.0,6.0,250.0
2020-04-14,6963764.0,5.0,424.0
2020-04-15,6963764.0,9.0,411.0
2020-04-16,6963764.0,5.0,408.0
2020-04-17,6963764.0,4.0,445.0
2020-04-18,6963764.0,7.0,372.0
2020-04-19,6963764.0,7.0,304.0
2020-04-20,6963764.0,5.0,324.0
2020-04-21,6963764.0,3.0,312.0
2020-04-22,6963764.0,0.0,260.0
2020-04-23,6963764.0,9.0,224.0
2020-04-24,6963764.0,5.0,162.0
2020-04-25,6963764.0,5.0,207.0
2020-04-26,6963764.0,7.0,296.0
2020-04-27,6963764.0,5.0,263.0
2020-04-28,6963764.0,6.0,233.0
2020-04-29,6963764.0,6.0,222.0
2020-04-30,6963764.0,5.0,227.0
2020-05-01,6963764.0,6.0,285.0
2020-05-02,6963764.0,6.0,196.0
2020-05-03,6963764.0,4.0,157.0
2020-05-04,6963764.0,4.0,102.0
2020-05-05,6963764.0,4.0,93.0
2020-05-06,6963764.0,3.0,120.0
2020-05-07,6963764.0,3.0,114.0
2020-05-08,6963764.0,3.0,57.0
2020-05-09,6963764.0,3.0,95.0
2020-05-10,6963764.0,4.0,89.0
2020-05-11,6963764.0,2.0,82.0
2020-05-12,6963764.0,3.0,62.0
2020-05-13,6963764.0,2.0,67.0
2020-05-14,6963764.0,2.0,52.0
2020-05-15,6963764.0,2.0,79.0
2020-05-16,6963764.0,1.0,64.0
2020-05-17,6963764.0,3.0,58.0
2020-05-18,6963764.0,2.0,114.0
2020-05-19,6963764.0,1.0,89.0
2020-05-20,6963764.0,3.0,34.0
2020-05-21,6963764.0,1.0,100.0
2020-05-22,6963764.0,2.0,86.0
2020-05-23,6963764.0,0.0,105.0
2020-05-24,6963764.0,1.0,68.0
2020-05-25,6963764.0,0.0,67.0
2020-05-26,6963764.0,1.0,34.0
2020-05-27,6963764.0,0.0,34.0
2020-05-28,6963764.0,1.0,48.0
2020-05-29,6963764.0,1.0,25.0
2020-05-30,6963764.0,1.0,54.0
2020-05-31,6963764.0,0.0,27.0
2020-06-01,6963764.0,1.0,31.0
2020-06-02,6963764.0,1.0,18.0
2020-06-03,6963764.0,1.0,24.0
2020-06-04,6963764.0,0.0,69.0
2020-06-05,6963764.0,1.0,48.0
2020-06-06,6963764.0,1.0,96.0
2020-06-07,6963764.0,1.0,74.0
2020-06-08,6963764.0,1.0,82.0
2020-06-09,6963764.0,1.0,73.0
2020-06-10,6963764.0,0.0,69.0
2020-06-11,6963764.0,1.0,66.0
2020-06-12,6963764.0,1.0,71.0
2020-06-13,6963764.0,0.0,73.0
2020-06-14,6963764.0,1.0,76.0
2020-06-15,6963764.0,1.0,59.0
2020-06-16,6963764.0,1.0,57.0
2020-06-17,6963764.0,1.0,59.0
2020-06-18,6963764.0,1.0,96.0
2020-06-19,6963764.0,1.0,94.0
2020-06-20,6963764.0,1.0,93.0
2020-06-21,6963764.0,1.0,94.0
2020-06-22,6963764.0,1.0,91.0
2020-06-23,6963764.0,1.0,96.0
2020-06-24,6963764.0,1.0,102.0
2020-06-25,6963764.0,0.0,143.0
2020-06-26,6963764.0,1.0,137.0
2020-06-27,6963764.0,1.0,193.0
2020-06-28,6963764.0,2.0,227.0
2020-06-29,6963764.0,3.0,254.0
2020-06-30,6963764.0,4.0,242.0
2020-07-01,6963764.0,3.0,276.0
2020-07-02,6963764.0,4.0,272.0
2020-07-03,6963764.0,6.0,359.0
2020-07-04,6963764.0,11.0,309.0
2020-07-05,6963764.0,8.0,325.0
2020-07-06,6963764.0,5.0,302.0
2020-07-07,6963764.0,6.0,289.0
2020-07-08,6963764.0,13.0,299.0
2020-07-09,6963764.0,11.0,357.0
2020-07-10,6963764.0,11.0,266.0
2020-07-11,6963764.0,18.0,386.0
2020-07-12,6963764.0,12.0,345.0
2020-07-13,6963764.0,11.0,287.0
2020-07-14,6963764.0,12.0,279.0
2020-07-15,6963764.0,13.0,344.0
2020-07-16,6963764.0,11.0,351.0
2020-07-17,6963764.0,13.0,383.0
2020-07-18,6963764.0,10.0,392.0
2020-07-19,6963764.0,9.0,389.0
2020-07-20,6963764.0,11.0,396.0
2020-07-21,6963764.0,10.0,359.0
2020-07-22,6963764.0,9.0,352.0
2020-07-23,6963764.0,8.0,426.0
2020-07-24,6963764.0,9.0,412.0
2020-07-25,6963764.0,10.0,409.0
2020-07-26,6963764.0,8.0,411.0
2020-07-27,6963764.0,8.0,467.0
2020-07-28,6963764.0,9.0,411.0
2020-07-29,6963764.0,8.0,379.0
2020-07-30,6963764.0,7.0,372.0
2020-07-31,6963764.0,7.0,321.0
2020-08-01,6963764.0,8.0,339.0
2020-08-02,6963764.0,9.0,330.0
2020-08-03,6963764.0,8.0,311.0
2020-08-04,6963764.0,8.0,258.0
2020-08-05,6963764.0,7.0,287.0
2020-08-06,6963764.0,9.0,295.0
2020-08-07,6963764.0,7.0,299.0
2020-08-08,6963764.0,5.0,276.0
2020-08-09,6963764.0,6.0,255.0
2020-08-10,6963764.0,9.0,236.0
2020-08-11,6963764.0,5.0,163.0
2020-08-12,6963764.0,6.0,235.0
2020-08-13,6963764.0,6.0,254.0
2020-08-14,6963764.0,3.0,247.0
2020-08-15,6963764.0,4.0,235.0
2020-08-16,6963764.0,5.0,238.0
2020-08-17,6963764.0,4.0,211.0
2020-08-18,6963764.0,3.0,100.0
2020-08-19,6963764.0,4.0,108.0
2020-08-20,6963764.0,3.0,158.0
2020-08-21,6963764.0,5.0,161.0
2020-08-22,6963764.0,3.0,169.0
2020-08-23,6963764.0,3.0,170.0
2020-08-24,6963764.0,3.0,109.0
2020-08-25,6963764.0,3.0,57.0
2020-08-26,6963764.0,4.0,106.0
2020-08-27,6963764.0,2.0,154.0
2020-08-28,6963764.0,0.0,125.0
2020-08-29,6963764.0,2.0,108.0
2020-08-30,6963764.0,1.0,75.0
2020-08-31,6963764.0,1.0,83.0
2020-09-01,6963764.0,2.0,41.0
2020-09-02,6963764.0,2.0,76.0
2020-09-03,6963764.0,1.0,99.0
2020-09-04,6963764.0,2.0,95.0
2020-09-05,6963764.0,3.0,96.0
2020-09-06,6963764.0,2.0,77.0
2020-09-07,6963764.0,1.0,56.0
2020-09-08,6963764.0,1.0,36.0
2020-09-09,6963764.0,2.0,53.0
2020-09-10,6963764.0,1.0,84.0
2020-09-11,6963764.0,1.0,58.0
2020-09-12,6963764.0,1.0,92.0
2020-09-13,6963764.0,1.0,72.0
2020-09-14,6963764.0,2.0,108.0
2020-09-15,6963764.0,0.0,29.0
2020-09-16,6963764.0,2.0,74.0
2020-09-17,6963764.0,1.0,102.0
2020-09-18,6963764.0,2.0,82.0
2020-09-19,6963764.0,1.0,62.0
2020-09-20,6963764.0,1.0,83.0
2020-09-21,6963764.0,1.0,68.0
2020-09-22,6963764.0,2.0,30.0
2020-09-23,6963764.0,0.0,61.0
2020-09-24,6963764.0,1.0,81.0
2020-09-25,6963764.0,1.0,83.0
2020-09-26,6963764.0,1.0,75.0
2020-09-27,6963764.0,0.0,74.0
2020-09-28,6963764.0,1.0,72.0
2020-09-29,6963764.0,1.0,30.0
2020-09-30,6963764.0,1.0,65.0
2020-10-01,6963764.0,0.0,72.0
2020-10-02,6963764.0,1.0,111.0
2020-10-03,6963764.0,1.0,73.0
2020-10-04,6963764.0,2.0,107.0
2020-10-05,6963764.0,1.0,59.0
2020-10-06,6963764.0,0.0,0.0
2020-10-07,6963764.0,3.0,171.0
2020-10-08,6963764.0,1.0,121.0
