datetime,popData2019,deaths,cases
2020-01-01,5804343.0,0.0,0.0
2020-01-02,5804343.0,0.0,0.0
2020-01-03,5804343.0,0.0,0.0
2020-01-04,5804343.0,0.0,0.0
2020-01-05,5804343.0,0.0,0.0
2020-01-06,5804343.0,0.0,0.0
2020-01-07,5804343.0,0.0,0.0
2020-01-08,5804343.0,0.0,0.0
2020-01-09,5804343.0,0.0,0.0
2020-01-10,5804343.0,0.0,0.0
2020-01-11,5804343.0,0.0,0.0
2020-01-12,5804343.0,0.0,0.0
2020-01-13,5804343.0,0.0,0.0
2020-01-14,5804343.0,0.0,0.0
2020-01-15,5804343.0,0.0,0.0
2020-01-16,5804343.0,0.0,0.0
2020-01-17,5804343.0,0.0,0.0
2020-01-18,5804343.0,0.0,0.0
2020-01-19,5804343.0,0.0,0.0
2020-01-20,5804343.0,0.0,0.0
2020-01-21,5804343.0,0.0,0.0
2020-01-22,5804343.0,0.0,0.0
2020-01-23,5804343.0,0.0,0.0
2020-01-24,5804343.0,0.0,3.0
2020-01-25,5804343.0,0.0,0.0
2020-01-26,5804343.0,0.0,1.0
2020-01-27,5804343.0,0.0,0.0
2020-01-28,5804343.0,0.0,1.0
2020-01-29,5804343.0,0.0,2.0
2020-01-30,5804343.0,0.0,3.0
2020-01-31,5804343.0,0.0,3.0
2020-02-01,5804343.0,0.0,3.0
2020-02-02,5804343.0,0.0,2.0
2020-02-03,5804343.0,0.0,0.0
2020-02-04,5804343.0,0.0,0.0
2020-02-05,5804343.0,0.0,6.0
2020-02-06,5804343.0,0.0,4.0
2020-02-07,5804343.0,0.0,2.0
2020-02-08,5804343.0,0.0,3.0
2020-02-09,5804343.0,0.0,7.0
2020-02-10,5804343.0,0.0,3.0
2020-02-11,5804343.0,0.0,2.0
2020-02-12,5804343.0,0.0,2.0
2020-02-13,5804343.0,0.0,3.0
2020-02-14,5804343.0,0.0,8.0
2020-02-15,5804343.0,0.0,9.0
2020-02-16,5804343.0,0.0,5.0
2020-02-17,5804343.0,0.0,3.0
2020-02-18,5804343.0,0.0,2.0
2020-02-19,5804343.0,0.0,4.0
2020-02-20,5804343.0,0.0,3.0
2020-02-21,5804343.0,0.0,1.0
2020-02-22,5804343.0,0.0,1.0
2020-02-23,5804343.0,0.0,3.0
2020-02-24,5804343.0,0.0,0.0
2020-02-25,5804343.0,0.0,1.0
2020-02-26,5804343.0,0.0,1.0
2020-02-27,5804343.0,0.0,2.0
2020-02-28,5804343.0,0.0,3.0
2020-02-29,5804343.0,0.0,2.0
2020-03-01,5804343.0,0.0,4.0
2020-03-02,5804343.0,0.0,4.0
2020-03-03,5804343.0,0.0,2.0
2020-03-04,5804343.0,0.0,2.0
2020-03-05,5804343.0,0.0,2.0
2020-03-06,5804343.0,0.0,5.0
2020-03-07,5804343.0,0.0,13.0
2020-03-08,5804343.0,0.0,8.0
2020-03-09,5804343.0,0.0,12.0
2020-03-10,5804343.0,0.0,10.0
2020-03-11,5804343.0,0.0,6.0
2020-03-12,5804343.0,0.0,12.0
2020-03-13,5804343.0,0.0,9.0
2020-03-14,5804343.0,0.0,13.0
2020-03-15,5804343.0,0.0,14.0
2020-03-16,5804343.0,0.0,12.0
2020-03-17,5804343.0,0.0,17.0
2020-03-18,5804343.0,0.0,23.0
2020-03-19,5804343.0,0.0,47.0
2020-03-20,5804343.0,0.0,32.0
