datetime,popData2019,deaths,cases
2020-03-04,43993643.0,0.0,1.0
2020-03-13,43993643.0,0.0,2.0
2020-03-16,43993643.0,0.0,0.0
2020-03-17,43993643.0,0.0,2.0
2020-03-18,43993643.0,0.0,9.0
2020-03-19,43993643.0,2.0,5.0
2020-03-20,43993643.0,0.0,7.0
2020-03-21,43993643.0,1.0,0.0
2020-03-22,43993643.0,0.0,15.0
2020-03-23,43993643.0,0.0,6.0
2020-03-24,43993643.0,0.0,26.0
2020-03-25,43993643.0,0.0,11.0
2020-03-26,43993643.0,1.0,29.0
2020-03-27,43993643.0,1.0,43.0
2020-03-28,43993643.0,0.0,62.0
2020-03-29,43993643.0,3.0,93.0
2020-03-30,43993643.0,1.0,107.0
2020-03-31,43993643.0,2.0,62.0
2020-04-01,43993643.0,2.0,69.0
2020-04-02,43993643.0,7.0,245.0
2020-04-03,43993643.0,2.0,103.0
2020-04-04,43993643.0,5.0,175.0
2020-04-05,43993643.0,5.0,153.0
2020-04-06,43993643.0,5.0,83.0
2020-04-07,43993643.0,1.0,11.0
2020-04-08,43993643.0,7.0,143.0
2020-04-09,43993643.0,7.0,206.0
2020-04-10,43993643.0,5.0,224.0
2020-04-11,43993643.0,12.0,311.0
2020-04-12,43993643.0,4.0,308.0
2020-04-13,43993643.0,10.0,266.0
2020-04-14,43993643.0,10.0,325.0
2020-04-15,43993643.0,5.0,270.0
2020-04-16,43993643.0,10.0,392.0
2020-04-17,43993643.0,8.0,397.0
2020-04-18,43993643.0,9.0,301.0
2020-04-19,43993643.0,8.0,644.0
2020-04-20,43993643.0,8.0,343.0
2020-04-21,43993643.0,10.0,261.0
2020-04-22,43993643.0,10.0,415.0
2020-04-23,43993643.0,13.0,467.0
2020-04-24,43993643.0,13.0,578.0
2020-04-25,43993643.0,6.0,477.0
2020-04-26,43993643.0,8.0,478.0
2020-04-27,43993643.0,8.0,492.0
2020-04-28,43993643.0,11.0,392.0
2020-04-29,43993643.0,19.0,401.0
2020-04-30,43993643.0,11.0,456.0
2020-05-01,43993643.0,11.0,540.0
2020-05-02,43993643.0,11.0,455.0
2020-05-03,43993643.0,7.0,550.0
2020-05-04,43993643.0,9.0,502.0
2020-05-05,43993643.0,15.0,418.0
2020-05-06,43993643.0,13.0,366.0
2020-05-07,43993643.0,11.0,487.0
2020-05-08,43993643.0,13.0,507.0
2020-05-09,43993643.0,21.0,504.0
2020-05-10,43993643.0,15.0,515.0
2020-05-11,43993643.0,15.0,522.0
2020-05-12,43993643.0,17.0,416.0
2020-05-13,43993643.0,17.0,375.0
2020-05-14,43993643.0,14.0,402.0
2020-05-15,43993643.0,17.0,422.0
2020-05-16,43993643.0,20.0,483.0
2020-05-17,43993643.0,21.0,528.0
2020-05-18,43993643.0,17.0,433.0
2020-05-19,43993643.0,21.0,325.0
2020-05-20,43993643.0,13.0,260.0
2020-05-21,43993643.0,16.0,354.0
2020-05-22,43993643.0,15.0,476.0
2020-05-23,43993643.0,9.0,442.0
2020-05-24,43993643.0,17.0,432.0
2020-05-25,43993643.0,12.0,406.0
2020-05-26,43993643.0,6.0,259.0
2020-05-27,43993643.0,21.0,339.0
2020-05-28,43993643.0,14.0,321.0
2020-05-29,43993643.0,11.0,477.0
2020-05-30,43993643.0,10.0,429.0
2020-05-31,43993643.0,17.0,393.0
2020-06-01,43993643.0,12.0,468.0
2020-06-02,43993643.0,10.0,340.0
2020-06-03,43993643.0,9.0,328.0
2020-06-04,43993643.0,8.0,483.0
2020-06-05,43993643.0,12.0,588.0
2020-06-06,43993643.0,15.0,553.0
2020-06-07,43993643.0,15.0,550.0
2020-06-08,43993643.0,11.0,485.0
2020-06-09,43993643.0,9.0,463.0
2020-06-10,43993643.0,13.0,394.0
2020-06-11,43993643.0,23.0,525.0
2020-06-12,43993643.0,21.0,689.0
2020-06-13,43993643.0,16.0,683.0
2020-06-14,43993643.0,10.0,753.0
2020-06-15,43993643.0,9.0,648.0
2020-06-16,43993643.0,12.0,656.0
2020-06-17,43993643.0,11.0,666.0
2020-06-18,43993643.0,31.0,758.0
2020-06-19,43993643.0,23.0,829.0
2020-06-20,43993643.0,19.0,921.0
2020-06-21,43993643.0,9.0,841.0
2020-06-22,43993643.0,8.0,735.0
2020-06-23,43993643.0,10.0,681.0
2020-06-24,43993643.0,23.0,833.0
2020-06-25,43993643.0,16.0,940.0
2020-06-26,43993643.0,16.0,994.0
2020-06-27,43993643.0,19.0,1109.0
2020-06-28,43993643.0,24.0,948.0
2020-06-29,43993643.0,19.0,917.0
2020-06-30,43993643.0,18.0,646.0
2020-07-01,43993643.0,12.0,706.0
2020-07-02,43993643.0,14.0,664.0
2020-07-03,43993643.0,12.0,889.0
2020-07-04,43993643.0,27.0,876.0
2020-07-05,43993643.0,15.0,914.0
2020-07-06,43993643.0,22.0,823.0
2020-07-07,43993643.0,13.0,543.0
2020-07-08,43993643.0,21.0,564.0
2020-07-09,43993643.0,23.0,807.0
2020-07-10,43993643.0,21.0,810.0
2020-07-11,43993643.0,18.0,819.0
2020-07-12,43993643.0,27.0,800.0
2020-07-13,43993643.0,11.0,678.0
2020-07-14,43993643.0,15.0,612.0
2020-07-15,43993643.0,14.0,638.0
2020-07-16,43993643.0,15.0,836.0
2020-07-17,43993643.0,18.0,848.0
2020-07-18,43993643.0,11.0,809.0
2020-07-19,43993643.0,21.0,847.0
2020-07-20,43993643.0,8.0,731.0
2020-07-21,43993643.0,13.0,651.0
2020-07-22,43993643.0,20.0,673.0
2020-07-23,43993643.0,16.0,829.0
2020-07-24,43993643.0,17.0,856.0
2020-07-25,43993643.0,20.0,972.0
2020-07-26,43993643.0,19.0,1106.0
2020-07-27,43993643.0,15.0,920.0
2020-07-28,43993643.0,11.0,807.0
2020-07-29,43993643.0,13.0,919.0
2020-07-30,43993643.0,21.0,1022.0
2020-07-31,43993643.0,23.0,1197.0
2020-08-01,43993643.0,20.0,1090.0
2020-08-02,43993643.0,16.0,1172.0
2020-08-03,43993643.0,16.0,1112.0
2020-08-04,43993643.0,13.0,990.0
2020-08-05,43993643.0,26.0,1061.0
2020-08-06,43993643.0,24.0,1271.0
2020-08-07,43993643.0,31.0,1318.0
2020-08-08,43993643.0,33.0,1453.0
2020-08-09,43993643.0,27.0,1489.0
2020-08-10,43993643.0,43.0,2207.0
2020-08-11,43993643.0,29.0,1158.0
2020-08-12,43993643.0,19.0,1433.0
2020-08-13,43993643.0,22.0,1592.0
2020-08-14,43993643.0,19.0,1732.0
2020-08-15,43993643.0,0.0,0.0
2020-08-16,43993643.0,33.0,1847.0
2020-08-17,43993643.0,45.0,3101.0
2020-08-18,43993643.0,27.0,1616.0
2020-08-19,43993643.0,0.0,0.0
2020-08-20,43993643.0,28.0,1967.0
2020-08-21,43993643.0,40.0,2134.0
2020-08-22,43993643.0,23.0,2106.0
2020-08-23,43993643.0,37.0,2328.0
2020-08-24,43993643.0,27.0,1987.0
2020-08-25,43993643.0,22.0,1796.0
2020-08-26,43993643.0,25.0,3331.0
2020-08-27,43993643.0,85.0,1974.0
2020-08-28,43993643.0,0.0,0.0
2020-08-29,43993643.0,35.0,2438.0
2020-08-30,43993643.0,54.0,2481.0
2020-08-31,43993643.0,35.0,2096.0
2020-09-01,43993643.0,30.0,2141.0
2020-09-02,43993643.0,48.0,2088.0
2020-09-03,43993643.0,51.0,2486.0
2020-09-04,43993643.0,54.0,2439.0
2020-09-05,43993643.0,13.0,2723.0
2020-09-06,43993643.0,88.0,2836.0
2020-09-07,43993643.0,0.0,2107.0
2020-09-08,43993643.0,66.0,2174.0
2020-09-09,43993643.0,102.0,4962.0
2020-09-10,43993643.0,0.0,2582.0
2020-09-11,43993643.0,97.0,3144.0
2020-09-12,43993643.0,0.0,0.0
2020-09-13,43993643.0,27.0,3103.0
2020-09-14,43993643.0,75.0,2476.0
2020-09-15,43993643.0,33.0,2462.0
2020-09-16,43993643.0,129.0,5863.0
2020-09-17,43993643.0,0.0,0.0
2020-09-18,43993643.0,60.0,3584.0
2020-09-19,43993643.0,68.0,3228.0
2020-09-20,43993643.0,48.0,3240.0
2020-09-21,43993643.0,41.0,2966.0
2020-09-22,43993643.0,26.0,2675.0
2020-09-23,43993643.0,59.0,2884.0
2020-09-24,43993643.0,63.0,3497.0
2020-09-25,43993643.0,52.0,3372.0
2020-09-26,43993643.0,70.0,3565.0
2020-09-27,43993643.0,76.0,3833.0
2020-09-28,43993643.0,56.0,3130.0
