datetime,popData2019,deaths,cases
2020-04-10,29161922.0,0.0,1.0
2020-04-11,29161922.0,0.0,0.0
2020-04-12,29161922.0,0.0,0.0
2020-04-13,29161922.0,0.0,0.0
2020-04-14,29161922.0,0.0,0.0
2020-04-15,29161922.0,0.0,0.0
2020-04-16,29161922.0,0.0,0.0
2020-04-17,29161922.0,0.0,0.0
2020-04-18,29161922.0,0.0,0.0
2020-04-19,29161922.0,0.0,0.0
2020-04-20,29161922.0,0.0,0.0
2020-04-21,29161922.0,0.0,0.0
2020-04-22,29161922.0,0.0,0.0
2020-04-23,29161922.0,0.0,0.0
2020-04-24,29161922.0,0.0,0.0
2020-04-25,29161922.0,0.0,0.0
2020-04-26,29161922.0,0.0,0.0
2020-04-27,29161922.0,0.0,0.0
2020-04-28,29161922.0,0.0,0.0
2020-04-29,29161922.0,0.0,0.0
2020-04-30,29161922.0,0.0,5.0
2020-05-01,29161922.0,2.0,0.0
2020-05-02,29161922.0,0.0,1.0
2020-05-03,29161922.0,0.0,3.0
2020-05-04,29161922.0,0.0,0.0
2020-05-05,29161922.0,0.0,2.0
2020-05-06,29161922.0,1.0,9.0
2020-05-07,29161922.0,2.0,4.0
2020-05-08,29161922.0,1.0,1.0
2020-05-09,29161922.0,1.0,8.0
2020-05-10,29161922.0,0.0,0.0
2020-05-11,29161922.0,1.0,17.0
2020-05-12,29161922.0,1.0,5.0
2020-05-13,29161922.0,2.0,11.0
2020-05-14,29161922.0,1.0,3.0
2020-05-15,29161922.0,1.0,17.0
2020-05-16,29161922.0,2.0,19.0
2020-05-17,29161922.0,4.0,18.0
2020-05-18,29161922.0,1.0,4.0
2020-05-19,29161922.0,0.0,2.0
2020-05-20,29161922.0,8.0,37.0
2020-05-21,29161922.0,1.0,13.0
2020-05-22,29161922.0,4.0,13.0
2020-05-23,29161922.0,0.0,12.0
2020-05-24,29161922.0,6.0,7.0
2020-05-25,29161922.0,3.0,10.0
2020-05-26,29161922.0,3.0,15.0
2020-05-27,29161922.0,4.0,12.0
2020-05-28,29161922.0,4.0,6.0
2020-05-29,29161922.0,4.0,23.0
2020-05-30,29161922.0,9.0,9.0
2020-05-31,29161922.0,11.0,23.0
2020-06-01,29161922.0,3.0,13.0
2020-06-02,29161922.0,4.0,31.0
2020-06-03,29161922.0,3.0,45.0
2020-06-04,29161922.0,1.0,4.0
2020-06-05,29161922.0,15.0,50.0
2020-06-06,29161922.0,8.0,16.0
2020-06-07,29161922.0,1.0,4.0
2020-06-08,29161922.0,0.0,13.0
2020-06-09,29161922.0,0.0,10.0
2020-06-10,29161922.0,15.0,28.0
2020-06-11,29161922.0,2.0,36.0
2020-06-12,29161922.0,7.0,31.0
2020-06-13,29161922.0,3.0,41.0
2020-06-14,29161922.0,21.0,73.0
2020-06-15,29161922.0,4.0,23.0
2020-06-16,29161922.0,44.0,116.0
2020-06-17,29161922.0,7.0,45.0
2020-06-18,29161922.0,29.0,13.0
2020-06-19,29161922.0,4.0,4.0
2020-06-20,29161922.0,3.0,13.0
2020-06-21,29161922.0,3.0,4.0
2020-06-22,29161922.0,2.0,18.0
2020-06-23,29161922.0,1.0,26.0
2020-06-24,29161922.0,4.0,25.0
2020-06-25,29161922.0,13.0,23.0
2020-06-26,29161922.0,14.0,61.0
2020-06-27,29161922.0,5.0,13.0
2020-06-28,29161922.0,3.0,14.0
2020-06-29,29161922.0,6.0,15.0
2020-06-30,29161922.0,2.0,10.0
2020-07-01,29161922.0,8.0,30.0
2020-07-02,29161922.0,6.0,32.0
2020-07-03,29161922.0,7.0,31.0
2020-07-04,29161922.0,10.0,19.0
2020-07-05,29161922.0,2.0,8.0
2020-07-06,29161922.0,1.0,17.0
2020-07-07,29161922.0,7.0,25.0
2020-07-08,29161922.0,3.0,7.0
2020-07-09,29161922.0,3.0,21.0
2020-07-10,29161922.0,10.0,38.0
2020-07-11,29161922.0,3.0,24.0
2020-07-12,29161922.0,1.0,9.0
2020-07-13,29161922.0,52.0,76.0
2020-07-14,29161922.0,7.0,33.0
2020-07-15,29161922.0,6.0,4.0
2020-07-16,29161922.0,3.0,24.0
2020-07-17,29161922.0,5.0,26.0
2020-07-18,29161922.0,2.0,24.0
2020-07-19,29161922.0,3.0,5.0
2020-07-20,29161922.0,2.0,25.0
2020-07-21,29161922.0,2.0,13.0
2020-07-22,29161922.0,9.0,10.0
2020-07-23,29161922.0,2.0,11.0
2020-07-24,29161922.0,3.0,14.0
2020-07-25,29161922.0,0.0,0.0
2020-07-26,29161922.0,13.0,20.0
2020-07-27,29161922.0,5.0,7.0
2020-07-28,29161922.0,4.0,10.0
2020-07-29,29161922.0,1.0,4.0
2020-07-30,29161922.0,1.0,16.0
2020-07-31,29161922.0,2.0,15.0
2020-08-01,29161922.0,6.0,2.0
2020-08-02,29161922.0,1.0,2.0
2020-08-03,29161922.0,3.0,4.0
2020-08-04,29161922.0,2.0,4.0
2020-08-05,29161922.0,7.0,22.0
2020-08-06,29161922.0,2.0,4.0
2020-08-07,29161922.0,1.0,3.0
2020-08-08,29161922.0,3.0,29.0
2020-08-09,29161922.0,1.0,4.0
2020-08-10,29161922.0,2.0,4.0
2020-08-11,29161922.0,3.0,27.0
2020-08-12,29161922.0,5.0,0.0
2020-08-13,29161922.0,5.0,10.0
2020-08-14,29161922.0,0.0,6.0
2020-08-15,29161922.0,0.0,11.0
2020-08-16,29161922.0,1.0,4.0
2020-08-17,29161922.0,1.0,7.0
2020-08-18,29161922.0,5.0,13.0
2020-08-19,29161922.0,1.0,4.0
2020-08-20,29161922.0,3.0,7.0
2020-08-21,29161922.0,2.0,6.0
2020-08-22,29161922.0,1.0,7.0
2020-08-23,29161922.0,4.0,1.0
2020-08-24,29161922.0,1.0,4.0
2020-08-25,29161922.0,8.0,5.0
2020-08-26,29161922.0,2.0,8.0
2020-08-27,29161922.0,3.0,6.0
2020-08-28,29161922.0,2.0,4.0
2020-08-29,29161922.0,1.0,9.0
2020-08-30,29161922.0,1.0,4.0
2020-08-31,29161922.0,0.0,6.0
2020-09-01,29161922.0,2.0,5.0
2020-09-02,29161922.0,4.0,4.0
2020-09-03,29161922.0,1.0,14.0
2020-09-04,29161922.0,1.0,4.0
2020-09-05,29161922.0,0.0,3.0
2020-09-06,29161922.0,0.0,4.0
2020-09-07,29161922.0,0.0,0.0
2020-09-08,29161922.0,1.0,4.0
2020-09-09,29161922.0,3.0,3.0
2020-09-10,29161922.0,1.0,5.0
2020-09-11,29161922.0,3.0,4.0
2020-09-12,29161922.0,2.0,4.0
2020-09-13,29161922.0,1.0,4.0
2020-09-14,29161922.0,0.0,2.0
2020-09-15,29161922.0,0.0,0.0
2020-09-16,29161922.0,0.0,3.0
